"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"0500000US12099","Palm Beach County, Florida","1496770","*****","*****","null",
"0500000US12101","Pasco County, Florida","553947","*****","*****","null",
"0500000US12103","Pinellas County, Florida","974996","*****","*****","null",
"0500000US12105","Polk County, Florida","724777","*****","*****","null",
"0500000US12107","Putnam County, Florida","74521","*****","*****","null",
"0500000US12109","St. Johns County, Florida","264672","*****","*****","null",
"0500000US12111","St. Lucie County, Florida","328297","*****","*****","null",
"0500000US12113","Santa Rosa County, Florida","184313","*****","*****","null",
"0500000US12115","Sarasota County, Florida","433742","*****","*****","null",
"0500000US12117","Seminole County, Florida","471826","*****","*****","null",
"0500000US12119","Sumter County, Florida","132420","*****","*****","null",
"0500000US12127","Volusia County, Florida","553284","*****","*****","null",
"0500000US12131","Walton County, Florida","74071","*****","*****","null",
"0500000US13013","Barrow County, Georgia","83240","*****","*****","null",
"0500000US13015","Bartow County, Georgia","107738","*****","*****","null",
"0500000US13021","Bibb County, Georgia","153159","*****","*****","null",
"0500000US13031","Bulloch County, Georgia","79608","*****","*****","null",
"0500000US13045","Carroll County, Georgia","119992","*****","*****","null",
"0500000US13047","Catoosa County, Georgia","67580","*****","*****","null",
"0500000US13051","Chatham County, Georgia","289430","*****","*****","null",
"0500000US13057","Cherokee County, Georgia","258773","*****","*****","null",
"0500000US13059","Clarke County, Georgia","128331","*****","*****","null",
"0500000US13063","Clayton County, Georgia","292256","*****","*****","null",
"0500000US13067","Cobb County, Georgia","760141","*****","*****","null",
"0500000US13073","Columbia County, Georgia","156714","*****","*****","null",
"0500000US13077","Coweta County, Georgia","148509","*****","*****","null",
"0500000US13089","DeKalb County, Georgia","759297","*****","*****","null",
"0500000US13095","Dougherty County, Georgia","87956","*****","*****","null",
"0500000US13097","Douglas County, Georgia","146343","*****","*****","null",
"0500000US13113","Fayette County, Georgia","114421","*****","*****","null",
"0500000US13115","Floyd County, Georgia","98498","*****","*****","null",
"0500000US13117","Forsyth County, Georgia","244252","*****","*****","null",
"0500000US13121","Fulton County, Georgia","1063937","*****","*****","null",
"0500000US13127","Glynn County, Georgia","85292","*****","*****","null",
