ACSSF,2010e1,al,000,0043,0000036,35273,664,880,1495,2227,2581,7957,6820,4695,2055,2575,790,257,1010,1267,35273,906,3135,4784,6351,7338,2078,5702,1053,902,1337,817,870,35273,664,880,1495,2227,2581,7957,6820,4695,2055,5899,35273,4041,4784,6351,7338,2078,5702,1955,1337,1687
ACSSF,2010e1,al,000,0043,0000037,81679,2242,3058,3277,7193,8976,13395,10969,8175,4135,6788,3180,749,5101,4441,81679,1999,10083,13034,23212,16593,4032,7434,516,847,1873,943,1113,81679,2242,3058,3277,7193,8976,13395,10969,8175,4135,20259,81679,12082,13034,23212,16593,4032,7434,1363,1873,2056
ACSSF,2010e1,al,000,0043,0000038,76556,4748,1432,4722,7561,8486,11585,11283,5348,3303,4933,1597,486,5838,5234,76556,1537,8108,15185,14171,16072,3423,8506,1038,1190,3758,2687,881,76556,4748,1432,4722,7561,8486,11585,11283,5348,3303,18088,76556,9645,15185,14171,16072,3423,8506,2228,3758,3568
ACSSF,2010e1,al,000,0043,0000039,86026,3429,1802,3614,6501,10360,15806,12774,5833,3140,4354,2103,735,6793,8782,86026,1137,10138,14952,23527,16548,5945,7322,873,1021,1692,1130,1741,86026,3429,1802,3614,6501,10360,15806,12774,5833,3140,22767,86026,11275,14952,23527,16548,5945,7322,1894,1692,2871
ACSSF,2010e1,al,000,0043,0000040,36571,499,1228,832,4108,4706,5965,5602,4367,1494,1682,841,297,1941,3009,36571,921,6302,5719,10887,6379,1629,1398,124,805,1412,995,0,36571,499,1228,832,4108,4706,5965,5602,4367,1494,7770,36571,7223,5719,10887,6379,1629,1398,929,1412,995
ACSSF,2010e1,al,000,0043,0000041,81271,4120,2770,2971,7167,7182,13996,11749,8142,3037,4582,1884,462,5468,7741,81271,981,5239,13089,18829,18553,4311,11694,787,1050,3079,2580,1079,81271,4120,2770,2971,7167,7182,13996,11749,8142,3037,20137,81271,6220,13089,18829,18553,4311,11694,1837,3079,3659
ACSSF,2010e1,al,000,0043,0000042,35273,664,880,1495,2227,2581,7957,6820,4695,2055,2575,790,257,1010,1267,35273,906,3135,4784,6351,7338,2078,5702,1053,902,1337,817,870,35273,664,880,1495,2227,2581,7957,6820,4695,2055,5899,35273,4041,4784,6351,7338,2078,5702,1955,1337,1687
ACSSF,2010e1,al,000,0043,0000043,26949,1481,1037,1894,2110,2749,3920,4081,2317,490,1288,763,299,1901,2619,26949,722,4293,8823,5715,2810,735,1835,249,250,970,314,233,26949,1481,1037,1894,2110,2749,3920,4081,2317,490,6870,26949,5015,8823,5715,2810,735,1835,499,970,547
ACSSF,2010e1,al,000,0043,0000044,81679,2242,3058,3277,7193,8976,13395,10969,8175,4135,6788,3180,749,5101,4441,81679,1999,10083,13034,23212,16593,4032,7434,516,847,1873,943,1113,81679,2242,3058,3277,7193,8976,13395,10969,8175,4135,20259,81679,12082,13034,23212,16593,4032,7434,1363,1873,2056
ACSSF,2010e1,al,000,0043,0000045,76556,4748,1432,4722,7561,8486,11585,11283,5348,3303,4933,1597,486,5838,5234,76556,1537,8108,15185,14171,16072,3423,8506,1038,1190,3758,2687,881,76556,4748,1432,4722,7561,8486,11585,11283,5348,3303,18088,76556,9645,15185,14171,16072,3423,8506,2228,3758,3568
ACSSF,2010e1,al,000,0043,0000046,86026,3429,1802,3614,6501,10360,15806,12774,5833,3140,4354,2103,735,6793,8782,86026,1137,10138,14952,23527,16548,5945,7322,873,1021,1692,1130,1741,86026,3429,1802,3614,6501,10360,15806,12774,5833,3140,22767,86026,11275,14952,23527,16548,5945,7322,1894,1692,2871
