ACSSF,2010e1,al,000,0051,0000021,76160,20418,20064,354,38450,37574,876,853,853,0,6564,6564,0,9875,9666,209,74590,18848,9582,6385,5599,786,3197,9266,5499,4814,685,3767,38450,19470,13804,13009,795,5666,18980,10307,9088,1219,8673,853,170,30,0,30,140,683,535,518,17,148,6564,1141,203,203,0,938,5423,959,914,45,4464,9875,4420,2388,2120,268,2032,5455,3469,3350,119,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0051,0000022,114420,43660,41093,2567,54233,50288,3945,2100,1811,289,4670,4653,17,9757,9326,431,112657,42056,21268,12982,10310,2672,8286,20788,11661,9441,2220,9127,54074,26872,21289,19900,1389,5583,27202,17542,16330,1212,9660,2100,1011,864,864,0,147,1089,586,574,12,503,4670,1112,334,334,0,778,3558,831,659,172,2727,9757,4682,3218,2737,481,1464,5075,3556,3517,39,1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0051,0000023,66467,15359,15014,345,38044,35859,2185,1222,1222,0,3673,3646,27,8169,8072,97,65140,14032,7686,4775,4038,737,2911,6346,4671,3784,887,1675,38044,19738,14310,13266,1044,5428,18306,10424,9582,842,7882,1222,701,327,105,222,374,521,289,289,0,232,3673,525,71,71,0,454,3148,389,389,0,2759,8169,4152,1505,1378,127,2647,4017,2531,1812,719,1486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0051,0000024,270573,82779,76644,6135,135616,124091,11525,5128,4902,226,16250,15791,459,30800,30224,576,265426,77680,43709,30946,23623,7323,12763,33971,24862,20421,4441,9109,135568,66984,51977,49912,2065,15007,68584,39876,37818,2058,28708,5128,1746,1573,1401,172,173,3382,2849,2506,343,533,16250,3779,1318,1318,0,2461,12471,2823,2567,256,9648,30800,12831,9031,8040,991,3800,17969,13631,11264,2367,4338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0051,0000025,73665,15529,12661,2868,41776,37023,4753,974,974,0,5857,5857,0,9529,9529,0,72071,13935,8758,5748,4509,1239,3010,5177,3045,2442,603,2132,41776,20615,15414,14693,721,5201,21161,12179,11639,540,8982,974,484,321,261,60,163,490,165,165,0,325,5857,1243,377,377,0,866,4614,530,530,0,4084,9529,4372,2640,2471,169,1732,5157,2891,2565,326,2266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0051,0000026,328401,103933,99578,4355,143736,137923,5813,11495,11495,0,23021,22240,781,46216,44322,1894,323741,99273,50936,32506,25696,6810,18430,48337,28529,24039,4490,19808,143736,72556,52570,48815,3755,19986,71180,39313,35794,3519,31867,11495,4642,3200,2378,822,1442,6853,4496,3179,1317,2357,23021,3981,1136,874,262,2845,19040,3536,3185,351,15504,46216,19381,13017,10485,2532,6364,26835,18401,16614,1787,8434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0051,0000027,183860,68424,64305,4119,73861,69105,4756,6361,5889,472,10712,10434,278,24502,23947,555,180410,64974,31742,19295,16628,2667,12447,33232,20089,17906,2183,13143,73861,37035,28181,26714,1467,8854,36826,23040,21724,1316,13786,6361,2957,1743,1347,396,1214,3404,1886,1480,406,1518,10712,1939,374,374,0,1565,8773,1487,1487,0,7286,24502,10308,5548,5124,424,4760,14194,8702,8156,546,5492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0051,0000028,96303,23965,22311,1654,50546,47318,3228,2495,2369,126,6350,6181,169,12947,12810,137,94329,21991,12670,8491,5981,2510,4179,9321,6836,6174,662,2485,50546,25878,19335,18041,1294,6543,24668,14013,13107,906,10655,2495,771,646,445,201,125,1724,1125,820,305,599,6350,1192,348,298,50,844,5158,766,693,73,4392,12947,5717,3806,3600,206,1911,7230,4680,4039,641,2550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0051,0000029,67611,14510,14034,476,36883,35974,909,1590,1419,171,5941,5941,0,8687,8557,130,66095,12994,7924,5031,4408,623,2893,5070,2723,2632,91,2347,36883,19003,14407,13795,612,4596,17880,10100,8702,1398,7780,1590,304,90,47,43,214,1286,971,809,162,315,5941,873,163,163,0,710,5068,1145,1076,69,3923,8687,4037,2484,2240,244,1553,4650,2733,2414,319,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0051,0000030,153991,38592,34946,3646,87063,81722,5341,2145,1674,471,7942,7885,57,18249,17474,775,150890,35539,19037,13436,11112,2324,5601,16502,11826,10524,1302,4676,87015,43917,36484,34907,1577,7433,43098,26328,24788,1540,16770,2145,764,764,764,0,0,1381,1107,451,656,274,7942,1721,322,322,0,1399,6221,1852,1565,287,4369,18249,7391,6461,6068,393,930,10858,7376,6815,561,3482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
