ACSSF,2010e1,al,000,0168,0000021,74590,46105,6984,39121,28485,74590,46105,7010,39095,28485,39581,4657,34924,39581,4955,34626,39581,4323,35258,26893,3394,23499,26893,3719,23174,26893,3018,23875,43803,1812,41991,38644,3594,35050,38644,1213,37431,38644,737,37907,9789,477,9312,10687,1013,9674,1645,1442,203,10687,3081,7606,27957,4412,23545,38644,826,37818,675,316,359,27957,1235,26722,27957,16096,8612,7484,11861,4109,7752,27957,12721,15236,5159,0,5159,43803,2345,41458,43803,753,43050,43803,10490,33313,38644,3490,35154,43803,2045,41758,43803,1452,42351,92234,12417,79817,92234,11915,80319,92234,11313,80921,92234,8117,84117,92234,8200,84034,92234,6090,86144,92234,9324,82910,92234,9834,82400,92234,9918,82316
ACSSF,2010e1,al,000,0168,0000022,112657,78261,5171,73090,34396,112657,78261,4796,73465,34396,63718,4215,59503,63718,4242,59476,63718,4267,59451,38169,2644,35525,38169,2582,35587,38169,2700,35469,62660,957,61703,55073,1648,53425,55073,772,54301,55073,694,54379,19324,238,19086,20023,869,19154,2497,227,2270,20023,2532,17491,35050,3630,31420,55073,1114,53959,2620,667,1953,35050,1031,34019,35050,21981,7683,14298,13069,3261,9808,35050,10944,24106,7587,114,7473,62660,2890,59770,62660,697,61963,62660,8103,54557,55073,1603,53470,62660,2401,60259,62660,919,61741,139206,12164,127042,139206,11406,127800,139206,11767,127439,139206,7735,131471,139206,8777,130429,139206,7849,131357,139206,10733,128473,139206,10000,129206,139206,10552,128654
ACSSF,2010e1,al,000,0168,0000023,65140,40325,5340,34985,24815,65140,40325,5136,35189,24815,34378,4691,29687,34378,5074,29304,34378,4563,29815,25441,3516,21925,25441,3802,21639,25441,3569,21872,35042,678,34364,31395,1411,29984,31395,669,30726,31395,570,30825,5662,0,5662,6257,594,5663,728,537,191,6257,1937,4320,25138,4674,20464,31395,295,31100,968,854,114,25138,1438,23700,25138,16613,6734,9879,8525,2834,5691,25138,9568,15570,3647,204,3443,35042,1738,33304,35042,231,34811,35042,7409,27633,31395,2498,28897,35042,1548,33494,35042,260,34782,79487,6716,72771,79487,6650,72837,79487,6139,73348,79487,3219,76268,79487,5722,73765,79487,3027,76460,79487,5538,73949,79487,5722,73765,79487,5700,73787
ACSSF,2010e1,al,000,0168,0000024,265426,179504,16207,163297,85922,265426,179504,14566,164938,85922,156411,11119,145292,156411,13253,143158,156411,12425,143986,111437,8280,103157,111437,10287,101150,111437,8990,102447,147063,3093,143970,129367,5890,123477,129367,3832,125535,129367,2574,126793,34372,992,33380,37607,2300,35307,7961,1536,6425,37607,8418,29189,91760,11427,80333,129367,4330,125037,3878,474,3404,91760,3975,87785,91760,64889,26848,38041,26871,9765,17106,91760,36613,55147,17696,485,17211,147063,5446,141617,147063,917,146146,147063,24829,122234,129367,7376,121991,147063,4759,142304,147063,2230,144833,331941,41365,290576,331941,39646,292295,331941,38573,293368,331941,24866,307075,331941,33155,298786,331941,23786,308155,331941,35207,296734,331941,31402,300539,331941,34981,296960
ACSSF,2010e1,al,000,0168,0000025,72071,45140,4221,40919,26931,72071,45140,3936,41204,26931,39438,3294,36144,39438,3555,35883,39438,3199,36239,26254,2664,23590,26254,2812,23442,26254,2706,23548,40345,1652,38693,35024,2028,32996,35024,878,34146,35024,708,34316,8014,195,7819,10228,1042,9186,699,199,500,10228,2434,7794,24796,2090,22706,35024,523,34501,149,0,149,24796,650,24146,24796,14755,5438,9317,10041,3908,6133,24796,9346,15450,5321,140,5181,40345,2650,37695,40345,277,40068,40345,2524,37821,35024,956,34068,40345,2549,37796,40345,717,39628,92132,11894,80238,92132,11688,80444,92132,11336,80796,92132,7530,84602,92132,9625,82507,92132,6244,85888,92132,10130,82002,92132,10110,82022,92132,10733,81399
ACSSF,2010e1,al,000,0168,0000026,323741,194993,13121,181872,128748,323741,194993,12495,182498,128748,170552,9945,160607,170552,9159,161393,170552,9278,161274,121068,6723,114345,121068,6219,114849,121068,6361,114707,178726,3983,174743,153676,3884,149792,153676,2586,151090,153676,2238,151438,45036,959,44077,50524,2511,48013,8585,1103,7482,50524,7649,42875,103152,10081,93071,153676,2422,151254,2953,813,2140,103152,2062,101090,103152,67877,25062,42815,35275,10049,25226,103152,35111,68041,25050,397,24653,178726,7407,171319,178726,1970,176756,178726,21157,157569,153676,5578,148098,178726,5370,173356,178726,2309,176417,410042,44715,365327,410042,42331,367711,410042,42300,367742,410042,28252,381790,410042,31900,378142,410042,26514,383528,410042,37372,372670,410042,37411,372631,410042,37638,372404
ACSSF,2010e1,al,000,0168,0000027,180410,115482,9633,105849,64928,180410,115482,8283,107199,64928,99081,6057,93024,99081,5990,93091,99081,5248,93833,68743,3803,64940,68743,3833,64910,68743,3334,65409,101655,2078,99577,88176,1588,86588,88176,790,87386,88176,898,87278,33640,555,33085,35643,2719,32924,4795,637,4158,35643,7313,28330,52533,4776,47757,88176,672,87504,2060,452,1608,52533,366,52167,52533,37926,12336,25590,14607,4266,10341,52533,16602,35931,13479,316,13163,101655,4908,96747,101655,2578,99077,101655,24737,76918,88176,2405,85771,101655,4180,97475,101655,2054,99601,223269,23565,199704,223269,22442,200827,223269,22380,200889,223269,14773,208496,223269,17989,205280,223269,13283,209986,223269,20252,203017,223269,17900,205369,223269,19415,203854
ACSSF,2010e1,al,000,0168,0000028,94329,62156,4291,57865,32173,94329,62156,4507,57649,32173,53198,3670,49528,53198,3848,49350,53198,3357,49841,37188,2263,34925,37188,2284,34904,37188,2026,35162,51210,1946,49264,45606,1219,44387,45606,875,44731,45606,314,45292,10731,140,10591,12326,395,11931,768,421,347,12326,1938,10388,33280,3138,30142,45606,491,45115,539,345,194,33280,752,32528,33280,20622,8409,12213,12658,4654,8004,33280,13063,20217,5604,232,5372,51210,2431,48779,51210,624,50586,51210,11786,39424,45606,1190,44416,51210,2367,48843,51210,742,50468,117463,14157,103306,117463,13163,104300,117463,13421,104042,117463,8050,109413,117463,9614,107849,117463,7098,110365,117463,12125,105338,117463,11341,106122,117463,12022,105441
ACSSF,2010e1,al,000,0168,0000029,66095,39491,1817,37674,26604,66095,39491,1939,37552,26604,35991,1751,34240,35991,2332,33659,35991,1598,34393,26495,1502,24993,26495,1786,24709,26495,1171,25324,38062,1647,36415,32583,1054,31529,32583,386,32197,32583,775,31808,4234,227,4007,4843,227,4616,1364,235,1129,4843,594,4249,27740,2979,24761,32583,936,31647,1027,329,698,27740,759,26981,27740,17911,8577,9334,9829,1964,7865,27740,10541,17199,5479,235,5244,38062,1099,36963,38062,108,37954,38062,4208,33854,32583,1130,31453,38062,945,37117,38062,1364,36698,82082,8741,73341,82082,8327,73755,82082,8667,73415,82082,5650,76432,82082,5567,76515,82082,4377,77705,82082,7499,74583,82082,7886,74196,82082,7671,74411
ACSSF,2010e1,al,000,0168,0000030,150890,108146,5129,103017,42744,150890,108146,5096,103050,42744,97212,3363,93849,97212,3466,93746,97212,3044,94168,67313,2204,65109,67313,2110,65203,67313,1712,65601,81100,1622,79478,72588,1324,71264,72588,555,72033,72588,546,72042,13472,217,13255,14752,355,14397,1992,120,1872,14752,1844,12908,57836,4716,53120,72588,601,71987,2142,0,2142,57836,800,57036,57836,44498,16586,27912,13338,4077,9261,57836,20663,37173,8512,0,8512,81100,1786,79314,81100,415,80685,81100,3464,77636,72588,1523,71065,81100,1906,79194,81100,855,80245,195514,16762,178752,195514,16008,179506,195514,16273,179241,195514,8442,187072,195514,11868,183646,195514,7846,187668,195514,14330,181184,195514,14291,181223,195514,14824,180690
