ACSSF,2010e1,al,000,0154,0000011,184212,136808,37682,28399,75,0,0,0,9208,50760,42089,16,43,0,0,8612,20806,14925,0,0,0,0,5881,17760,12723,0,131,0,0,4906,9800,5969,0,0,0,0,3831,47404,15772,6507,4525,1906,786,334,1714,12267,5753,2397,1006,152,0,2959,8332,3941,1408,948,227,57,1751,6767,3866,1268,297,0,0,1336,4266,2393,362,250,0,0,1261,184212,136808,11577,7818,0,0,0,0,3759,82447,60305,50,138,0,0,21954,42784,35982,41,36,0,0,6725,47404,13499,5323,2913,1564,200,57,3442,25055,12202,5330,1740,518,234,5031,8850,4935,1717,1103,447,100,548,184212,136808,11577,1027,981,2563,1762,1541,1439,1117,671,476,82447,3150,5634,21177,15276,15225,7993,5418,3490,5084,42784,1329,1978,5175,4990,7960,8922,4692,2866,4872,47404,13499,851,410,2539,3339,2713,2111,355,746,435,25055,535,1268,4490,5116,4618,2855,2203,2387,1583,8850,173,132,1126,1854,1796,1065,735,1173,796
ACSSF,2010e1,al,000,0154,0000012,514028,370398,93486,72630,236,214,155,221,20030,146213,122141,525,43,117,310,23077,57756,45273,0,8,0,0,12475,44514,34019,27,131,0,0,10337,28429,19111,0,0,0,0,9318,143630,49727,18923,12271,8134,2068,1308,7023,35807,15990,5780,5199,1082,684,7072,26130,11979,4978,2385,326,186,6276,19690,9885,3615,1219,63,0,4908,12276,6789,1501,714,0,64,3208,514028,370398,35044,23938,344,0,0,0,10762,221998,171234,362,191,67,204,49940,113356,98002,82,205,205,327,14535,143630,45589,18776,8242,6936,797,602,10236,75582,33912,14801,8052,1724,690,16403,22459,10878,5102,2663,1018,950,1848,514028,370398,35044,5128,3556,9065,4744,4604,3754,1788,1068,1337,221998,15248,19509,55808,40125,39164,19593,13797,7536,11218,113356,4966,6180,16316,14106,21280,21596,12079,6815,10018,143630,45589,4924,1865,8131,10114,8185,5732,2574,2109,1955,75582,5069,5004,13854,14896,13558,8117,5703,5237,4144,22459,1096,1632,3486,3922,4127,2694,1613,2091,1798
ACSSF,2010e1,al,000,0154,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68096,48864,4299,3249,0,0,0,0,1050,29024,25442,155,0,67,204,3156,15541,13357,0,0,205,327,1652,19232,6086,1416,765,2414,169,314,1008,10728,5210,1029,2086,356,94,1953,2418,753,576,413,59,617,0,68096,48864,4299,1214,677,1050,463,518,323,54,0,0,29024,4401,5068,8905,4005,3130,1919,734,474,388,15541,1342,1954,4699,2348,1960,1497,1080,241,420,19232,6086,2359,413,1439,826,591,205,60,115,78,10728,2485,2335,2576,1250,843,435,316,372,116,2418,293,1007,663,158,85,195,0,17,0
ACSSF,2010e1,al,000,0154,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45862,30941,3943,3332,76,0,0,0,535,17648,14092,157,0,0,0,3399,9350,8318,0,0,51,0,981,14921,4941,2028,973,905,339,0,696,8029,3660,1314,620,99,203,2133,1951,791,44,297,232,389,198,45862,30941,3943,1052,217,352,912,534,171,345,170,190,17648,1147,1082,3498,3629,3244,1746,1613,865,824,9350,176,466,1020,1407,2266,1797,1216,483,519,14921,4941,41,1257,843,443,1239,252,495,319,52,8029,0,756,1506,1003,1653,1139,1066,178,728,1951,99,62,111,437,402,141,244,288,167
ACSSF,2010e1,al,000,0154,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29666,22316,2471,0,139,703,416,605,181,0,68,359,12561,590,719,2281,2989,2001,1428,1156,957,440,7284,451,568,511,1204,1166,1635,636,428,685,7350,2614,15,37,563,549,473,361,389,48,179,3713,79,41,422,1539,970,128,243,0,291,1023,0,77,234,186,312,77,43,40,54
ACSSF,2010e1,al,000,0154,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25738,20516,2609,694,191,632,360,268,323,130,0,11,12288,1094,590,3232,2414,2725,802,770,471,190,5619,83,258,317,938,1264,1300,399,645,415,5222,1649,0,0,350,361,315,160,0,34,429,2845,0,17,555,790,660,200,197,135,291,728,53,22,16,192,253,60,83,49,0
ACSSF,2010e1,al,000,0154,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28860,22505,2982,780,930,336,416,296,168,0,0,56,14061,1353,1714,5391,1920,1939,655,451,255,383,5462,411,484,603,399,1196,1163,470,257,479,6355,3285,731,734,1074,226,67,33,306,76,38,2618,374,263,517,264,614,257,178,24,127,452,57,97,0,92,91,0,43,72,0
ACSSF,2010e1,al,000,0154,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39731,29389,3010,2542,29,0,0,0,439,17157,15357,63,0,0,0,1737,9222,8343,49,0,0,45,785,10342,2566,1171,500,727,44,31,93,6142,2754,510,1292,175,300,1111,1634,468,360,308,46,127,325,39731,29389,3010,546,68,662,600,390,0,294,376,74,17157,1009,734,3220,2401,2804,1673,2485,1793,1038,9222,272,322,809,767,1424,1791,1661,1400,776,10342,2566,193,0,148,487,694,232,255,281,276,6142,194,227,633,1467,1241,716,569,596,499,1634,204,159,59,222,312,15,239,185,239
ACSSF,2010e1,al,000,0154,0000019,40206,25760,6396,5089,68,43,0,0,1196,10374,9475,109,0,0,0,790,4063,3557,0,0,0,0,506,3106,2847,0,0,0,0,259,1821,1285,0,0,0,0,536,14446,4957,1658,1121,1013,253,308,604,3384,1502,579,654,42,34,573,2497,1365,347,552,13,36,184,2267,1279,322,291,0,13,362,1341,851,123,113,0,0,254,40206,25760,2770,1998,0,0,0,0,772,14988,13250,41,43,0,0,1654,8002,7005,136,0,0,0,861,14446,5228,1818,815,1395,111,138,951,7641,4303,1101,1126,197,126,788,1577,534,576,102,0,127,238,40206,25760,2770,510,122,701,430,619,241,123,0,24,14988,1788,1712,3297,2408,3200,1053,891,352,287,8002,234,533,749,1353,1992,1466,838,345,492,14446,5228,324,107,1243,505,1860,302,540,294,53,7641,539,264,989,862,2150,1062,705,709,361,1577,112,62,256,233,316,312,123,33,130
ACSSF,2010e1,al,000,0154,0000020,257219,166240,42077,37939,640,699,272,345,2182,63955,61041,291,117,256,416,1834,28022,26562,0,0,0,0,1460,21302,20824,50,0,0,0,428,10884,10399,0,0,0,0,485,90979,35411,8066,4209,12935,4423,4702,1076,26045,9959,3216,8889,2322,896,763,16186,7105,2034,4627,988,725,707,6741,2603,960,2178,172,201,627,6596,3697,955,1232,297,54,361,257219,166240,20198,18862,163,117,111,103,842,100495,95527,200,443,116,357,3852,45547,42376,618,256,301,301,1695,90979,35662,8849,5063,13602,5778,1060,1310,44636,19030,5388,14211,1891,2166,1950,10681,3551,923,2048,533,3352,274,257219,166240,20198,3525,1175,2145,2157,2864,2380,4595,442,915,100495,7673,8286,16168,13332,17403,11886,11023,6525,8199,45547,1092,1464,3779,4106,8379,9225,9261,3840,4401,90979,35662,2138,1803,3697,7907,8916,4376,3313,1450,2062,44636,1577,2338,4961,5708,8782,6021,7834,3675,3740,10681,579,770,1774,1338,1999,1216,1716,618,671
