ACSSF,2010e1,al,000,0055,0000030,,,,,,,,,,,,,,,,,,,,151627,39680,2711,2238,1775,1937,2862,2295,2979,2327,1808,2219,2152,2108,2273,1763,6537,1696,111947,,,,,,,,,,,,,,,,,,,,2319,1323,0,880,400,43,996,151627,39680,4949,18202,8296,8233,111947,10527,2414,111,1889,271,143,8113
ACSSF,2010e1,al,000,0055,0000031,,,,,,,,,,,,,,,,,,,,51431,12091,701,164,313,191,757,587,1841,893,435,538,966,695,503,622,2819,66,39340,,,,,,,,,,,,,,,,,,,,,,,,,,,51431,12091,865,5555,2786,2885,39340,,,,,,,
ACSSF,2010e1,al,000,0055,0000032,,,,,,,,,,,,,,,,,,,,122663,37141,1312,1408,1365,792,846,1485,1417,1503,1098,1533,1294,1397,981,982,17524,2204,85522,,,,,,,,,,,,,,,,,,,,2026,1507,320,504,320,363,519,122663,37141,2720,10039,4654,19728,85522,,,,,,,
ACSSF,2010e1,al,000,0055,0000033,,,,,,,,,,,,,,,,,,,,58067,12350,853,590,1173,625,533,922,217,1056,762,281,541,1090,1027,507,2068,105,45717,,,,,,,,,,,,,,,,,,,,,,,,,,,58067,12350,1443,5569,3165,2173,45717,,,,,,,
ACSSF,2010e1,al,000,0055,0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42290,7369,835,1273,539,4722,34921,,,,,,,
ACSSF,2010e1,al,000,0055,0000035,,,,,,,,,,,,,,,,,,,,39767,9163,514,402,297,668,617,909,512,604,280,402,340,606,593,617,1569,233,30604,,,,,,,,,,,,,,,,,,,,826,376,117,202,57,0,450,39767,9163,916,4289,2156,1802,30604,1713,502,64,141,176,121,1211
ACSSF,2010e1,al,000,0055,0000036,,,,,,,,,,,,,,,,,,,,53226,14110,1740,970,889,741,503,895,759,985,401,1276,799,787,592,579,1691,503,39116,,,,,,,,,,,,,,,,,,,,,,,,,,,53226,14110,2710,6449,2757,2194,39116,7852,2860,1221,923,412,304,4992
ACSSF,2010e1,al,000,0055,0000037,,,,,,,,,,,,,,,,,,,,103620,22706,913,1245,984,791,1186,722,652,944,2570,1002,791,1026,1550,913,6025,1392,80914,,,,,,,,,,,,,,,,,,,,4644,2798,743,1465,253,337,1846,103620,22706,2158,8851,4280,7417,80914,9541,2329,771,1152,108,298,7212
ACSSF,2010e1,al,000,0055,0000038,,,,,,,,,,,,,,,,,,,,84011,19897,1300,620,825,1138,437,551,886,436,915,669,741,876,631,1291,7428,1153,64114,,,,,,,,,,,,,,,,,,,,,,,,,,,84011,19897,1920,5857,3539,8581,64114,4576,1776,345,605,338,488,2800
ACSSF,2010e1,al,000,0055,0000039,,,,,,,,,,,,,,,,,,,,73068,16040,954,677,803,631,586,1054,362,1042,712,721,755,525,1142,407,4463,1206,57028,,,,,,,,,,,,,,,,,,,,,,,,,,,73068,16040,1631,5911,2829,5669,57028,7509,1778,703,854,89,132,5731
ACSSF,2010e1,al,000,0055,0000040,,,,,,,,,,,,,,,,,,,,44891,18474,556,456,395,111,346,414,169,248,445,558,116,316,0,55,12609,1680,26417,,,,,,,,,,,,,,,,,,,,,,,,,,,44891,18474,1012,2686,487,14289,26417,,,,,,,
ACSSF,2010e1,al,000,0055,0000041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42290,7369,835,1273,539,4722,34921,,,,,,,
ACSSF,2010e1,al,000,0055,0000042,,,,,,,,,,,,,,,,,,,,53226,14110,1740,970,889,741,503,895,759,985,401,1276,799,787,592,579,1691,503,39116,,,,,,,,,,,,,,,,,,,,,,,,,,,53226,14110,2710,6449,2757,2194,39116,7852,2860,1221,923,412,304,4992
ACSSF,2010e1,al,000,0055,0000043,,,,,,,,,,,,,,,,,,,,38462,8496,514,402,297,668,617,528,512,604,280,402,340,580,593,357,1569,233,29966,,,,,,,,,,,,,,,,,,,,826,376,117,202,57,0,450,38462,8496,916,3908,1870,1802,29966,1713,502,64,141,176,121,1211
ACSSF,2010e1,al,000,0055,0000044,,,,,,,,,,,,,,,,,,,,103620,22706,913,1245,984,791,1186,722,652,944,2570,1002,791,1026,1550,913,6025,1392,80914,,,,,,,,,,,,,,,,,,,,4644,2798,743,1465,253,337,1846,103620,22706,2158,8851,4280,7417,80914,9541,2329,771,1152,108,298,7212
ACSSF,2010e1,al,000,0055,0000045,,,,,,,,,,,,,,,,,,,,84011,19897,1300,620,825,1138,437,551,886,436,915,669,741,876,631,1291,7428,1153,64114,,,,,,,,,,,,,,,,,,,,,,,,,,,84011,19897,1920,5857,3539,8581,64114,4576,1776,345,605,338,488,2800
