ACSSF,2010m1,al,000,0107,0000011,5812,4084,1838,1263,1073,486,160,377,177,337,562,978,628,131,513,280,133,246,887,343,324,105,273,262,137,115,822,273,620,440,354,279,273,206,906,472,52,460,219,219,273,273,702,124,552,273,267,458,74,273,258,211,102,144,155,600,400,62,100,273,145,341,490,1545,179,273,273,179,761,165,273,150,326,572,327,751,241,642,245,62,47,1017,103,89,857,472,453,148,26,273,197,375,1581,1221,646,514,536,654,350,366,282,937,197,273,142,77,92,106,783,212,257,2638,1307,188,639,1089,1945,548,510,854,611,494,196,738,807,273,1064,242,781,817,3071,2371,617,717,565,848,177,357,386,273,1414,1432,211,68,449,400,1406,163,569,1726,1432,730
ACSSF,2010m1,al,000,0107,0000012,9376,6064,3486,2636,2020,870,400,519,188,640,885,1693,1639,458,1192,709,384,557,1968,1202,1148,258,437,383,909,200,1157,184,1013,699,664,489,261,304,1774,831,316,795,545,550,25,96,1361,526,997,273,726,572,74,114,809,695,257,307,585,970,873,436,178,389,172,620,821,3094,369,254,125,212,1968,465,116,150,800,1547,1038,1831,522,1317,657,439,271,2030,235,405,1440,1232,776,163,241,121,197,638,3373,2301,1280,740,733,1320,712,788,608,2093,402,273,606,281,373,282,1527,352,933,3694,1912,302,1355,1239,2786,1043,1156,1408,885,635,589,1638,936,322,2241,467,1428,1828,4874,3585,989,1178,1102,1531,322,627,573,519,1988,2439,676,324,651,554,2128,315,614,2117,1814,976
ACSSF,2010m1,al,000,0107,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0107,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0107,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0107,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0107,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0107,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0107,0000019,1528,984,657,511,410,112,133,161,47,197,183,280,225,273,90,202,173,91,241,121,121,273,55,273,105,273,162,273,114,116,85,35,52,48,395,276,89,257,107,107,273,273,253,164,179,273,172,56,25,273,68,114,109,56,273,195,159,94,44,79,273,95,115,636,55,48,273,30,368,97,273,273,138,265,180,390,92,242,254,64,148,273,58,73,194,193,138,23,72,273,273,115,589,519,225,139,112,215,119,329,129,367,125,273,24,36,110,103,276,273,103,644,255,207,144,273,583,174,313,199,117,154,173,192,143,273,467,158,307,340,817,534,151,115,212,208,273,137,273,94,293,477,65,134,155,86,428,63,66,313,242,168
ACSSF,2010m1,al,000,0107,0000020,5724,3674,2989,2053,1708,991,615,339,151,626,111,1505,1400,143,804,1184,757,865,1738,1162,1145,407,792,479,583,260,1314,570,924,517,609,449,269,202,1857,764,488,574,597,523,177,156,893,483,719,273,479,453,216,273,425,1059,657,715,551,1044,948,701,382,355,273,578,530,2576,679,474,289,303,1125,208,169,89,374,794,784,1577,404,1033,696,607,649,1412,168,278,1154,602,603,261,428,178,134,253,2665,2076,1007,705,730,1195,682,624,488,1670,659,273,499,267,601,404,1166,155,720,2309,190,273,165,156,1953,421,635,1071,785,779,578,1184,620,428,1499,247,1211,991,2903,1663,534,675,397,968,361,950,94,276,1023,1799,413,30,294,431,1467,242,221,1781,1441,1009
