ACSSF,2010e1,al,000,0016,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413277,403231,244066,143646,3277,7745,0,55,4442,0,4442,10046,6890,173,756,0,53,1898,276,276,0,413277,403231,10046,413277,403231,10046,4801,1361,528,0,1400,1212,744,413277,403231,244066,143646,3277,7745,0,55,4442,0,4442,10046
ACSSF,2010e1,al,000,0016,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229844,221487,8357,229844,221487,8357,4933,1036,133,89,1664,89,413,229844,221487,88098,124456,571,4836,90,0,3436,161,3275,8357
ACSSF,2010e1,al,000,0016,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119626,110442,9184,,,,,,,,,,,119626,110442,92707,13794,371,788,0,0,2782,74,2708,9184
ACSSF,2010e1,al,000,0016,0000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83761,81715,2046,,,,,,,,,,,83761,81715,72047,8731,146,370,0,18,403,0,403,2046
ACSSF,2010e1,al,000,0016,0000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195828,184146,11682,,,,,,,,,,,195828,184146,156927,20884,441,3614,0,0,2280,115,2165,11682
ACSSF,2010e1,al,000,0016,0000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82110,80409,1701,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0016,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195036,189024,6012,195036,189024,6012,3686,552,0,0,286,1058,430,195036,189024,126355,57878,47,1813,0,611,2320,0,2320,6012
ACSSF,2010e1,al,000,0016,0000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66947,64914,2033,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0016,0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211670,204155,7515,,,,,,,,,,,211670,204155,42933,157996,593,1528,0,89,1016,161,855,7515
ACSSF,2010e1,al,000,0016,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66121,64104,2017,,,,,,,,,,,66121,64104,41083,21042,186,872,0,13,908,0,908,2017
ACSSF,2010e1,al,000,0016,0000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80376,72254,8122,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0016,0000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181126,170562,106261,53110,434,5734,161,68,4794,61,4733,10564,8535,350,0,0,0,1316,363,363,0,181126,170562,10564,181126,170562,10564,6641,785,119,89,2018,720,192,181126,170562,106261,53110,434,5734,161,68,4794,61,4733,10564
ACSSF,2010e1,al,000,0016,0000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195249,190257,4992,195249,190257,4992,1934,727,411,0,498,954,468,195249,190257,86163,98677,474,2621,0,55,2267,0,2267,4992
ACSSF,2010e1,al,000,0016,0000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206655,198566,8089,206655,198566,8089,4826,1036,133,0,1664,89,341,206655,198566,75011,115266,571,4368,90,0,3260,161,3099,8089
ACSSF,2010e1,al,000,0016,0000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90637,86642,3995,,,,,,,,,,,90637,86642,45666,38753,0,861,0,339,1023,0,1023,3995
ACSSF,2010e1,al,000,0016,0000041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211670,204155,7515,,,,,,,,,,,211670,204155,42933,157996,593,1528,0,89,1016,161,855,7515
ACSSF,2010e1,al,000,0016,0000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80376,72254,8122,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0016,0000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64816,62799,2017,,,,,,,,,,,64816,62799,39778,21042,186,872,0,13,908,0,908,2017
