ACSSF,2010m1,al,000,0022,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2297,2706,2366,2297,636,2281,0,2461,379,127,273,273,696,1408,820,732,260,2034,264,273,1818,1167,273,249,812,699,273,336,689,106,188,597,100,72,292,273,2834,2297,0,2297,2706,2366,2297
ACSSF,2010m1,al,000,0022,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6004,8012,4910,6004,1402,5722,0,5705,693,770,504,598,1116,3593,1687,2133,368,3485,676,394,3460,1984,293,506,1275,748,496,1727,1870,370,2272,879,146,366,583,1294,5539,6004,0,6004,8012,4910,6004
ACSSF,2010m1,al,000,0022,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3904,3348,3706,3904,849,3853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3904,3348,3706,3904
ACSSF,2010m1,al,000,0022,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6010,7533,6569,6010,1077,5954,0,5487,300,676,278,188,2156,4614,1165,4136,492,4402,1409,227,5238,1896,159,1203,1579,140,427,1910,1789,98,898,1108,85,92,623,1306,6945,6010,0,6010,7533,6569,6010
ACSSF,2010m1,al,000,0022,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3443,4016,2512,3443,1036,3416,0,3520,1482,351,273,273,587,2106,753,1048,87,1483,141,491,1777,787,98,362,476,121,458,809,951,519,1093,330,106,167,473,791,4027,3443,0,3443,4016,2512,3443
ACSSF,2010m1,al,000,0022,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2806,3370,2707,2806,565,2835,0,2821,213,427,273,314,1203,2399,515,756,642,2076,273,233,2480,1198,273,210,224,142,430,700,922,273,271,599,924,100,359,270,2691,2806,0,2806,3370,2707,2806
ACSSF,2010m1,al,000,0022,0000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2659,3377,2401,2659,830,2369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2659,3377,2401,2659
ACSSF,2010m1,al,000,0022,0000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3125,5671,5100,3125,848,3107,0,3410,1062,366,133,144,1044,4163,1185,2170,310,3115,528,262,3623,1867,245,1023,1570,480,324,1203,1886,48,1044,807,437,152,770,625,4599,3125,0,3125,5671,5100,3125
ACSSF,2010m1,al,000,0022,0000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3567,4067,2138,3567,548,3585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3567,4067,2138,3567
ACSSF,2010m1,al,000,0022,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5082,4672,2910,5082,952,4969,0,3152,319,214,273,134,561,2950,742,1451,186,2555,599,92,2801,716,231,273,535,144,432,974,941,273,899,226,170,273,590,360,2677,5082,0,5082,4672,2910,5082
