ACSSF,2010m1,al,000,0058,0000021,591,424,273,273,156,273,273,172,138,348,335,229,428,846,807,539,2250,946,1083,1308,1307,1749,968,471,426,2237,567,382,393,267,400,560,273,771,763,909,305,332,205,238,346,2237,1447,837,689,312,267,120,254,742,532,205,316,240,282,587,384,273,263,365,224,1232,772,275,206,353,269,342,914,238,408,357,605,334,471,112,393,144,294,163,2681,628,500,527,291,451,546,273,772,857,915,305,383,205,238,346,591,424,225,321,433,428,846,807,539,2250,946,1083,1308,1307,1749,968,471,426,2237,1013,771,763,909,642,2151,1042,742,713,889,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2151,1042,742,713,889,584,,,,,,
ACSSF,2010m1,al,000,0058,0000022,617,365,273,273,41,91,127,273,149,351,368,476,511,932,1026,410,1837,946,1123,1457,1044,1734,1098,609,598,2283,326,716,480,491,332,692,23,552,1027,908,595,314,293,427,683,2283,1388,878,588,209,396,327,529,867,536,180,564,162,416,428,262,71,303,113,110,1491,1194,767,289,441,438,498,846,446,277,439,532,541,433,280,22,60,306,224,2466,329,732,485,494,345,701,83,610,1037,911,596,330,296,443,737,617,365,167,384,536,511,932,1026,410,1837,946,1123,1457,1044,1734,1098,609,598,2283,1279,552,1027,908,1085,2094,1125,505,880,734,949,773,526,128,478,537,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2074,1125,517,880,721,950,,,,,,
ACSSF,2010m1,al,000,0058,0000023,800,442,273,64,273,273,124,79,179,384,510,402,513,522,880,466,1685,772,914,1509,977,1308,786,252,499,1517,548,204,647,231,359,767,149,514,760,727,168,308,31,203,333,1517,1033,593,579,78,345,273,207,842,490,437,456,289,280,380,336,129,132,187,102,1185,662,566,253,466,370,205,937,677,197,419,441,281,367,168,136,61,236,139,1830,654,252,647,268,425,767,149,514,764,722,217,368,31,203,411,800,442,141,417,635,513,522,880,466,1685,772,914,1509,977,1308,786,252,499,1517,1261,514,760,727,536,1437,1183,498,734,701,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1432,1162,498,730,701,434,,,,,,
ACSSF,2010m1,al,000,0058,0000024,852,593,273,273,60,500,145,317,54,1049,836,816,1571,1444,1009,1223,3700,1393,1794,3216,1834,3343,2392,1126,638,4329,1009,888,700,775,942,2087,284,1589,2327,1537,726,865,489,548,890,4329,2839,1838,1192,772,961,372,601,2020,1479,629,1119,451,868,959,818,169,479,337,448,2444,1692,873,788,681,777,698,1840,931,786,1294,961,829,694,407,340,399,507,300,4751,1039,902,791,794,1006,2101,402,1738,2397,1580,772,951,514,587,904,852,593,730,1050,1142,1571,1444,1009,1223,3700,1393,1794,3216,1834,3343,2392,1126,638,4329,2782,1589,2327,1537,1469,3285,2125,1308,1724,1328,1339,2300,1298,537,1258,820,715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3275,2130,1308,1724,1350,1341,,,,,,
ACSSF,2010m1,al,000,0058,0000025,769,860,273,142,92,528,211,558,379,1351,319,602,755,649,683,437,1859,1115,682,1766,1159,1027,795,568,203,1531,363,257,129,273,305,379,210,511,640,643,170,270,216,80,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1579,369,274,167,273,305,379,210,511,640,669,170,270,216,124,545,769,860,811,1468,632,755,649,683,437,1859,1115,682,1766,1159,1027,795,568,203,1531,805,511,640,643,594,1544,805,509,567,643,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1567,797,509,567,643,601,,,,,,
ACSSF,2010m1,al,000,0058,0000026,765,829,273,374,114,298,302,236,337,661,649,1035,1763,1866,1662,1460,4322,1854,1780,3129,2295,3259,1692,725,929,3908,525,636,680,837,935,1306,139,1141,1745,1869,549,763,913,804,1105,3908,2421,1342,842,379,858,273,515,1635,869,362,1022,614,962,883,566,180,479,255,286,2820,1716,1144,612,547,855,805,2014,991,774,883,1010,1012,800,225,207,216,696,416,4388,508,787,658,1007,1049,1310,217,1193,1738,1909,689,816,930,888,1145,765,829,636,773,1104,1763,1866,1662,1460,4322,1854,1780,3129,2295,3259,1692,725,929,3908,1963,1141,1745,1869,1914,3194,1527,913,1320,1579,1706,2005,1083,510,984,898,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3145,1561,901,1320,1551,1706,,,,,,
ACSSF,2010m1,al,000,0058,0000027,678,1100,79,273,273,331,419,479,365,631,600,810,1492,1299,1086,551,2748,1377,1303,2236,1453,2534,2354,779,777,3200,695,642,667,901,677,608,166,852,1790,1452,831,727,467,641,920,3200,1824,1177,546,246,754,673,645,1316,877,307,826,351,735,667,479,144,581,322,373,2211,1539,949,318,643,836,494,1806,930,623,824,1016,990,836,579,265,228,538,280,3622,694,694,692,968,860,608,166,884,1844,1550,931,752,476,641,1023,678,1100,679,801,818,1492,1299,1086,551,2748,1377,1303,2236,1453,2534,2354,779,777,3200,1800,852,1790,1452,1519,2543,1321,634,1312,1152,1348,2336,1278,490,1122,1078,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2391,1247,634,1239,1152,1348,,,,,,
ACSSF,2010m1,al,000,0058,0000028,651,673,273,273,273,127,154,483,129,905,828,1315,442,788,953,560,2268,1362,1255,2106,1167,1675,830,318,217,1944,170,322,366,228,330,646,135,307,825,773,343,198,244,378,272,1944,1213,479,331,273,278,273,242,981,690,136,568,334,231,440,294,130,178,124,83,1143,722,296,128,314,333,471,796,271,125,430,486,299,356,116,178,93,300,273,2361,193,379,396,278,354,722,289,384,825,818,365,317,244,380,319,651,673,526,915,1623,442,788,953,560,2268,1362,1255,2106,1167,1675,830,318,217,1944,961,307,825,773,700,1931,927,307,835,768,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1919,916,307,835,768,704,,,,,,
ACSSF,2010m1,al,000,0058,0000029,1278,340,273,273,273,273,273,42,228,137,321,695,1663,680,1120,600,1681,1210,1122,2087,988,1671,498,155,453,1688,32,232,247,273,361,368,56,642,845,582,197,246,217,105,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1741,32,237,247,156,361,368,56,643,828,619,288,246,217,105,765,1278,340,42,241,833,1663,680,1120,600,1681,1210,1122,2087,988,1671,498,155,453,1688,664,642,845,582,827,1644,643,614,830,582,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642,643,614,804,583,806,,,,,,
ACSSF,2010m1,al,000,0058,0000030,784,404,67,273,273,273,94,26,273,730,410,475,624,731,829,515,2421,1019,1641,2356,1401,2784,1488,878,777,3213,620,692,520,605,544,1184,140,1234,2433,1201,1017,726,502,541,673,3213,2266,1357,963,253,1046,97,458,1678,1025,560,1145,462,767,706,469,262,426,201,402,2024,1139,631,593,783,560,701,1527,550,708,961,723,800,592,223,220,291,475,275,3372,664,715,571,852,665,1184,140,1296,2441,1222,1059,741,517,541,714,784,404,116,730,691,624,731,829,515,2421,1019,1641,2356,1401,2784,1488,878,777,3213,1873,1234,2433,1201,1453,2930,1669,1111,2210,1134,1376,1004,705,539,657,401,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2907,1670,1111,2193,1134,1376,,,,,,
