ACSSF,2010m1,al,000,0122,0000027,3773,285,1044,1922,768,2158,1131,404,1353,1508,2476,1709,1234,1654,3450,191,569,626,197,614,253,245,1113,887,2117,713,620,1602,2627,273,273,274,273,556,252,273,56,840,1336,1621,576,802,2878,85,263,402,615,1804,655,244,724,823,1010,628,625,1028,1011,203,735,129,255,447,281,194,157,177,273,273,743,322,2057,273,80,1703,430,729,667,273,133,552,306,105,610,308
ACSSF,2010m1,al,000,0122,0000028,2447,393,985,1594,852,1014,847,430,869,1429,1293,1321,983,570,1753,174,281,1109,158,432,145,118,398,736,1067,337,324,509,1925,273,273,97,108,62,244,265,130,574,544,1350,560,298,1608,273,117,737,489,831,448,258,642,707,534,328,517,197,1224,255,913,334,273,309,483,228,273,273,273,273,192,89,1892,218,308,1224,675,461,704,273,273,732,170,130,285,273
ACSSF,2010m1,al,000,0122,0000029,2370,331,951,1364,689,1230,688,454,882,908,1247,848,693,1197,1444,270,641,481,307,484,320,274,651,451,912,300,247,292,1331,222,273,273,273,324,112,273,273,382,748,600,248,898,1612,273,247,475,519,1089,269,252,433,558,635,313,259,291,1055,273,603,148,244,71,122,175,229,127,187,86,502,587,1603,273,307,1120,322,469,556,65,273,397,107,273,318,435
ACSSF,2010m1,al,000,0122,0000030,2899,575,1360,1440,977,1704,1093,808,1776,1635,2039,1907,1280,1193,2818,200,742,1054,375,536,676,662,1144,1165,1788,775,533,518,2118,72,273,176,273,244,273,273,275,777,686,1627,649,787,2379,95,221,285,688,1463,471,531,1379,899,781,421,361,369,1473,515,1098,246,273,245,226,273,93,297,246,136,704,337,1477,97,164,781,512,764,317,102,104,450,177,196,301,212
ACSSF,2010m1,al,000,0122,0000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0122,0000032,3772,894,1400,1588,732,2239,1080,713,1050,2129,2431,1941,1328,851,2271,181,393,663,391,723,137,418,667,1013,1892,882,305,498,2252,97,273,133,273,249,273,165,118,1357,1183,1294,730,652,2446,154,83,505,382,1795,444,221,882,582,1030,1042,401,436,1627,696,1249,258,180,228,334,264,191,118,269,58,563,145,2122,367,734,1303,479,852,870,520,273,467,483,491,732,98
ACSSF,2010m1,al,000,0122,0000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010m1,al,000,0122,0000034,3896,359,1687,1779,767,1623,1084,709,1299,1522,2554,1837,1024,1108,2733,273,259,566,124,501,431,343,799,1026,1956,792,444,673,2127,94,273,273,78,240,121,273,168,917,1574,1570,685,575,2260,85,267,322,556,1368,338,377,1269,665,936,773,384,398,2057,304,1748,423,128,533,227,476,273,273,195,273,621,185,2071,130,304,1465,507,680,922,273,273,562,417,249,158,264
ACSSF,2010m1,al,000,0122,0000035,1502,136,363,543,398,621,409,183,362,440,767,561,341,394,860,52,156,220,108,158,121,126,158,245,663,208,130,166,748,273,273,273,273,145,77,273,23,186,276,468,228,337,917,24,42,157,321,515,291,71,246,217,293,272,120,160,489,58,283,89,98,149,201,68,140,148,38,133,141,102,723,107,108,475,209,109,189,101,273,182,51,85,93,114
ACSSF,2010m1,al,000,0122,0000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
