ACSSF,2010m1,al,000,0072,0000011,4336,2794,1928,1425,851,750,1291,1256,2652,1199,895,505,385,650,698,2261,2176,976,917,1575,630,1382,892,693,225,241,582,509,1124,572,429,407,71,85,352,918,787,217,270,685,382,1586,1435,781,152,188,715,1113,783,503,451,131,273,420,213,643,489,301,155,361,516,3561,3403,2152,957,1069,1692,2580,1828,945,692,298,156,565,777,1512,1165,370,260,1012,915,4336,2918,1599,1102,1099,497,135,2591,928,541,698,213,273,2328,862,1805,922,240,3765,3430,2603,2300,764,200,2310,1530,1002,820,364,273,1956,1307,1473,551,273,4336,2794,1928,2652,1199,2261,1382,892,1124,572,918,1586,1435,783,503,643,3561,3403,1828,945,1512,4336,2918,1599,1102,1085,2591,928,541,725,2328,862,2037,3765,3430,2603,2259,2310,1530,1002,936,1956,1307,1485
ACSSF,2010m1,al,000,0072,0000012,7857,4401,2960,2389,1091,1323,2038,1630,4010,1741,1307,899,610,838,1145,3529,3215,1312,1711,2157,1163,2281,1705,1427,387,872,999,962,1645,809,689,456,432,303,443,1229,1033,445,308,908,614,2840,2387,1419,481,684,1068,1802,1330,736,553,341,273,467,383,1183,946,346,295,795,864,6572,6580,4119,1770,1548,3411,4704,3325,2002,1323,542,273,1136,1569,2573,1870,730,462,1615,1692,7857,4166,2161,1394,1605,824,336,3564,1455,766,1167,336,371,3258,1368,2506,1267,266,6685,6618,4880,4186,1678,284,4159,2489,1926,1310,500,273,3342,2357,2421,800,273,7857,4401,2960,4010,1741,3529,2281,1705,1645,809,1229,2840,2387,1330,736,1183,6572,6580,3325,2002,2573,7857,4166,2161,1394,1628,3564,1455,766,1180,3258,1368,2843,6685,6618,4880,4172,4159,2489,1926,1395,3342,2357,2353
ACSSF,2010m1,al,000,0072,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3137,1094,739,430,466,434,273,823,261,229,180,273,273,775,300,671,444,273,2920,2860,2426,1461,746,156,1583,1027,660,640,209,273,1267,768,855,420,273,3137,1299,929,870,261,822,813,701,513,87,505,1049,832,551,392,396,2700,2738,1320,931,943,3137,1094,739,430,565,823,261,229,180,775,300,750,2920,2860,2426,1533,1583,1027,660,677,1267,768,895
ACSSF,2010m1,al,000,0072,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1764,1024,734,521,432,286,273,908,630,172,635,273,273,700,534,452,332,198,1710,1718,1293,1102,470,273,1013,673,426,480,150,273,878,775,656,103,273,1764,1207,874,1057,633,829,416,358,240,273,240,492,379,271,85,258,1915,1788,974,662,793,1764,1024,734,521,496,908,630,172,635,700,534,500,1710,1718,1293,1147,1013,673,426,481,878,775,664
ACSSF,2010m1,al,000,0072,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1597,1045,639,962,148,928,334,295,94,94,273,726,535,484,204,461,1694,1517,869,369,735,1597,1013,589,359,471,873,60,273,60,862,444,732,1743,1585,1117,1002,994,402,416,225,873,750,483
ACSSF,2010m1,al,000,0072,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1547,1128,859,899,447,795,562,561,139,26,135,696,571,385,160,322,1327,1202,763,578,582,1547,879,434,153,412,805,447,19,446,711,581,418,1434,1373,1090,921,954,583,595,120,738,429,641
ACSSF,2010m1,al,000,0072,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2034,868,562,641,155,617,293,116,273,109,225,555,276,455,117,460,1739,1788,779,463,644,2034,717,393,174,360,580,154,66,142,561,347,390,1872,1796,1195,1261,862,492,334,334,748,515,698
ACSSF,2010m1,al,000,0072,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1734,887,462,296,257,128,238,826,273,273,273,273,273,826,379,648,425,273,1894,1685,1262,962,461,78,974,728,527,416,101,273,820,587,509,92,273,1734,1089,795,822,273,822,538,414,240,88,214,815,723,276,149,231,1735,1515,865,697,738,1734,887,462,296,357,826,273,273,273,826,379,750,1894,1685,1262,1039,974,728,527,432,820,587,526
ACSSF,2010m1,al,000,0072,0000019,1147,639,506,440,113,150,409,202,539,196,191,116,61,134,53,513,488,267,328,373,151,391,346,286,137,131,207,199,222,112,48,41,273,23,103,183,172,120,78,141,65,397,256,206,60,128,159,129,256,90,68,32,273,59,63,236,213,25,140,159,113,1106,1042,567,232,257,523,883,638,271,200,151,88,111,158,580,399,92,80,343,368,1147,565,433,163,251,351,24,492,184,81,158,59,273,473,187,313,289,69,1110,1065,857,593,282,73,788,292,197,190,23,273,685,437,509,204,273,1147,639,506,539,196,513,391,346,222,112,183,397,256,256,90,236,1106,1042,638,271,580,1147,565,433,163,405,492,184,81,167,473,187,424,1110,1065,857,623,788,292,197,189,685,437,521
ACSSF,2010m1,al,000,0072,0000020,4695,2734,1782,1333,708,680,991,978,2371,772,465,295,182,342,587,2295,2154,947,1089,1687,1067,976,752,550,325,352,276,492,782,564,440,251,273,339,344,702,482,293,228,390,520,1367,1107,610,327,531,486,821,962,600,532,273,365,364,510,900,816,308,328,724,595,3607,3681,2739,1326,1171,2292,2642,2304,1271,1048,441,340,875,928,2075,1712,895,290,1333,1880,4695,2315,1196,600,773,466,398,2072,689,637,358,96,273,1992,1096,1724,795,384,4128,3974,2982,2770,1008,63,2542,1556,1265,1170,219,85,2359,2091,2039,678,273,4695,2734,1782,2371,772,2295,976,752,782,564,702,1367,1107,962,600,900,3607,3681,2304,1271,2075,4695,2315,1196,600,952,2072,689,637,370,1992,1096,1856,4128,3974,2982,2686,2542,1556,1265,1200,2359,2091,2051
