ACSSF,2010m1,al,000,0055,0000035,,,,,,,,,,,,,,,,,,,,1436,987,200,165,128,213,180,676,233,251,152,185,154,221,240,326,320,104,1184,,,,,,,,,,,,,,,,,,,,442,307,96,183,87,273,244,1436,987,283,756,373,336,1184,590,293,94,114,148,147,405
ACSSF,2010m1,al,000,0055,0000036,,,,,,,,,,,,,,,,,,,,4483,1976,703,506,415,472,265,364,408,471,277,567,522,403,409,400,901,291,3485,,,,,,,,,,,,,,,,,,,,,,,,,,,4483,1976,920,1440,809,949,3485,3240,1581,1224,650,401,333,2109
ACSSF,2010m1,al,000,0055,0000037,,,,,,,,,,,,,,,,,,,,3707,2450,416,507,597,465,508,472,335,458,917,421,379,409,472,470,1393,580,2849,,,,,,,,,,,,,,,,,,,,1974,1693,521,1203,259,284,877,3707,2450,714,1595,825,1603,2849,1480,716,427,358,139,304,1246
ACSSF,2010m1,al,000,0055,0000038,,,,,,,,,,,,,,,,,,,,3892,2452,687,360,764,538,345,277,456,348,463,462,380,416,346,756,1951,549,3472,,,,,,,,,,,,,,,,,,,,,,,,,,,3892,2452,767,1322,1129,1956,3472,1195,768,227,478,435,592,899
ACSSF,2010m1,al,000,0055,0000039,,,,,,,,,,,,,,,,,,,,2401,1746,292,349,302,350,300,475,218,509,387,321,368,363,452,287,1255,578,2228,,,,,,,,,,,,,,,,,,,,,,,,,,,2401,1746,481,602,865,1429,2228,386,424,356,185,102,146,626
ACSSF,2010m1,al,000,0055,0000040,,,,,,,,,,,,,,,,,,,,3566,2908,349,378,245,131,379,369,160,209,335,356,138,298,273,103,2933,726,3196,,,,,,,,,,,,,,,,,,,,,,,,,,,3566,2908,382,969,334,2793,3196,,,,,,,
ACSSF,2010m1,al,000,0055,0000041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3994,1491,467,506,352,1418,3694,,,,,,,
ACSSF,2010m1,al,000,0055,0000042,,,,,,,,,,,,,,,,,,,,4483,1976,703,506,415,472,265,364,408,471,277,567,522,403,409,400,901,291,3485,,,,,,,,,,,,,,,,,,,,,,,,,,,4483,1976,920,1440,809,949,3485,3240,1581,1224,650,401,333,2109
ACSSF,2010m1,al,000,0055,0000043,,,,,,,,,,,,,,,,,,,,1113,814,200,165,128,213,180,208,233,251,152,185,154,209,240,176,320,104,1125,,,,,,,,,,,,,,,,,,,,442,307,96,183,87,273,244,1113,814,283,535,293,336,1125,590,293,94,114,148,147,405
ACSSF,2010m1,al,000,0055,0000044,,,,,,,,,,,,,,,,,,,,3707,2450,416,507,597,465,508,472,335,458,917,421,379,409,472,470,1393,580,2849,,,,,,,,,,,,,,,,,,,,1974,1693,521,1203,259,284,877,3707,2450,714,1595,825,1603,2849,1480,716,427,358,139,304,1246
ACSSF,2010m1,al,000,0055,0000045,,,,,,,,,,,,,,,,,,,,3892,2452,687,360,764,538,345,277,456,348,463,462,380,416,346,756,1951,549,3472,,,,,,,,,,,,,,,,,,,,,,,,,,,3892,2452,767,1322,1129,1956,3472,1195,768,227,478,435,592,899
ACSSF,2010m1,al,000,0055,0000046,,,,,,,,,,,,,,,,,,,,2401,1746,292,349,302,350,300,475,218,509,387,321,368,363,452,287,1255,578,2228,,,,,,,,,,,,,,,,,,,,,,,,,,,2401,1746,481,602,865,1429,2228,386,424,356,185,102,146,626
ACSSF,2010m1,al,000,0055,0000047,,,,,,,,,,,,,,,,,,,,3566,2908,349,378,245,131,379,369,160,209,335,356,138,298,273,103,2933,726,3196,,,,,,,,,,,,,,,,,,,,,,,,,,,3566,2908,382,969,334,2793,3196,,,,,,,
ACSSF,2010m1,al,000,0055,0000048,,,,,,,,,,,,,,,,,,,,3345,2977,1244,1763,1247,1140,894,1205,1487,1313,1382,830,887,1090,1044,1048,2109,1004,3561,1355,794,210,298,193,356,138,394,430,306,441,273,171,141,418,133,583,151,1453,1446,1007,214,597,550,323,942,3345,2977,1965,2060,1329,2169,3561,1355,794,328,685,492,603,1453
ACSSF,2010m1,al,000,0055,0000049,2045,1764,216,427,341,128,376,388,360,152,534,56,393,360,389,222,774,151,967,4168,2934,915,990,984,832,934,1007,732,1007,973,870,795,800,826,817,1954,933,4007,1341,1282,377,229,122,815,318,425,223,181,345,256,400,216,349,263,451,463,1169,2045,1764,459,844,770,812,967,4168,2934,1272,1442,1116,2232,4007,1341,1282,441,821,683,593,1169
ACSSF,2010m1,al,000,0055,0000050,,,,,,,,,,,,,,,,,,,,3494,3444,1319,1070,778,990,966,978,1050,1281,1155,1052,923,987,873,1154,2711,1012,4109,1379,901,337,242,434,259,247,288,403,211,177,94,186,102,156,101,463,195,1313,1529,751,225,518,194,462,1317,3494,3444,1762,1822,1599,3020,4109,1379,901,350,823,268,537,1313
ACSSF,2010m1,al,000,0055,0000051,,,,,,,,,,,,,,,,,,,,4145,3707,1065,1480,1216,1352,1396,1279,1242,1034,1539,1440,1373,1182,911,1081,2559,761,4568,1889,1608,190,699,535,707,383,436,506,401,502,290,290,384,663,656,485,54,1619,1944,1499,334,1417,286,467,1138,4145,3707,1699,2370,1579,2580,4568,1889,1608,748,1485,1152,486,1619
ACSSF,2010m1,al,000,0055,0000052,2345,1832,543,379,526,155,412,139,359,382,332,367,138,195,428,122,492,225,1522,3872,3692,1186,1286,1413,1309,1221,1185,1075,1269,1554,1254,1197,1035,885,1037,2428,1137,4103,1008,1571,499,572,297,319,486,377,489,247,447,490,290,391,309,205,749,268,987,2345,1832,614,1188,507,564,1522,3872,3692,1817,2021,1521,2587,4103,1008,1571,865,967,618,815,987
