ACSSF,2010e1,al,000,0116,0000011,31889,47246,51189,51618,48833,58388,40065,60955,51691,45741,37017,50401,47204,31611,40530,46149,35553,19869,17872,32175,43207,31656,15689,22579,16331,28198,30067,27767,31567,30884,26424,37483,30365,28547,33609,30492,31889,37048,55835,60887,60848,62159,60052,43811,60782,60421,45273,36506,51042,50030,55667,91220,150689,61098,28421,.,36580,44188,31991,12486,26564,35833,40986,42123,38276,31920,34045,26186,37638,33728,33004,35221,31865,27229,41862,44797,47777,36292,39330,33542,61123,21604,45906,40310,46623,47099,30828,37179,41774,32123,16687,17683,23676,27741,22696,16015,16248,13686,26590,25050,27145,25347,21452,36250,23189,21454,20523,20833,30041,119659,69403,14362,7951,6616,1335,2771,404,1845,522,2815,1107,323,1201,184,825,453,372,5924,54,1649,842,807,759,3074,388,6534,4618,1916,17710,3062,8287,6361,24873,13049,7335,4489,50256,17026,5632,3925,1707,790,263,373,154,5918,794,306,4585,233,4686,2592,2094,7530,3254,310,150,160,2184,888,894,18305,5384,12921,692,302,319,71,6703,4865,654,1184
ACSSF,2010e1,al,000,0116,0000012,32340,47859,51491,52270,50023,55954,46731,60134,60430,44261,39174,56058,45852,35987,45811,52188,32325,21465,20657,35324,31398,37693,15540,23654,18559,28835,30255,28130,32036,26312,28265,38851,29202,27854,35777,24630,32340,37351,60424,66163,66009,67379,58527,48254,60504,60467,47166,38940,71130,51678,37829,76938,120938,50235,30630,16978,37338,32203,38733,15422,27638,40043,35009,36390,31738,32108,26904,27462,39153,32655,32542,36718,27978,27532,42136,41635,43704,40141,46040,46145,44219,60221,42444,40008,43750,44121,33696,41556,50530,32021,17361,20708,29800,27575,32752,15576,15870,17318,26365,23614,27110,30768,21688,36662,32113,21729,22062,19861,20063,356186,202272,49601,24946,19961,4985,9722,3165,5466,1091,10678,2818,1380,5150,1330,4255,3223,1032,22904,431,7913,3370,4543,3215,10041,1304,26020,16531,9489,45557,4321,22317,18919,58190,31539,16416,10235,153914,55847,18078,11569,6509,2512,1319,895,298,19237,2790,870,14651,926,16020,10332,5688,24378,7252,975,327,648,7196,2604,6351,52072,16431,35641,2649,777,897,975,18968,15104,1085,2779
ACSSF,2010e1,al,000,0116,0000013,38433,51925,52323,53943,49718,59046,58942,55500,84242,40461,34078,100549,42715,38237,63713,70417,27325,23266,22829,39242,20587,43269,16073,27231,16777,31406,36694,29349,34297,26769,26898,51307,39076,38190,41052,22454,38433,42836,66236,70636,72256,67200,60259,59407,60403,84242,49026,80137,100852,60403,38635,178191,178630,.,38210,.,39713,20874,43568,21689,36469,40364,56964,50313,60755,33244,26404,25816,51310,40107,38678,41182,22454,30301,41996,36864,40423,30219,41849,.,.,.,37923,28580,.,41534,36588,53456,60346,25877,16719,22829,32712,.,.,15456,11639,16290,27498,29688,27348,36446,.,35783,34981,34339,36250,.,.,54412,31997,10117,5648,4362,1286,1958,744,1045,169,1497,259,215,575,448,1014,948,66,5391,0,2200,581,1619,880,1906,405,4761,3476,1285,6556,173,3537,2846,5172,1970,2025,1177,22415,9585,3926,2932,994,179,58,121,0,2678,425,16,1944,293,2802,2322,480,3766,945,108,49,59,965,435,1313,7737,3009,4728,408,45,232,131,919,856,63,0
ACSSF,2010e1,al,000,0116,0000014,39989,51425,61991,66339,60048,71950,51884,86305,.,40774,33494,22058,41275,55333,46960,46413,54427,25049,26729,55483,56627,49617,16669,21297,14504,30136,31703,27102,44049,.,40655,46866,31196,31855,41462,25554,39989,46387,60216,71415,71726,65926,71025,50019,86880,.,47595,24589,250001,46561,49375,46703,46703,.,36274,.,55483,56627,49617,16089,22406,.,52202,41483,64444,44029,.,41107,46922,35810,35962,41503,30464,28510,44788,59371,59651,51927,76156,90417,.,.,33239,33864,.,35114,.,47191,46152,54427,17698,26729,.,.,.,16796,18644,13965,25965,28243,24664,45080,.,.,46676,17085,16942,.,20188,30079,17807,4860,2171,1991,180,1287,507,780,0,851,132,64,556,99,551,551,0,1784,0,558,373,185,135,1001,90,2815,2039,776,3390,207,1063,2120,4958,4115,481,362,12272,4787,1506,995,511,163,100,63,0,1570,182,99,1244,45,1548,1208,340,1430,329,0,0,0,288,480,333,4399,1571,2828,267,0,60,207,1389,863,17,509
ACSSF,2010e1,al,000,0116,0000015,32364,48019,61094,65103,51552,41466,40093,41568,.,41227,38359,87160,40646,52587,46059,50279,36543,22573,23641,24170,17380,24214,13671,30694,40401,29631,31466,25827,27950,40343,22476,28750,29816,28199,37083,20952,32364,33003,54601,76923,91962,75429,41188,40093,42473,.,40641,38203,.,41297,.,47424,46831,.,24432,.,24170,17380,24214,.,30420,.,31634,32492,17349,30097,.,30093,28750,31649,33365,42775,27697,31697,41729,41570,48140,41033,41679,.,.,.,41579,50125,.,40254,.,43053,50657,36033,14794,23641,.,.,.,13671,.,40609,26128,23554,26458,20270,.,14275,.,22515,23855,.,19002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0116,0000016,27797,42490,51288,52454,50481,38794,39578,37164,.,41583,35193,.,42797,50469,36240,36900,18664,19125,45034,21161,14318,22304,13967,33210,18497,28879,33773,27615,23361,20897,24725,25794,22250,23903,40723,18349,27797,34513,61750,90920,91851,60325,37834,39578,36754,.,50997,.,.,52177,.,77045,.,.,21795,.,14318,14318,.,20126,33423,.,33360,34169,30084,24570,4738,24725,25794,32044,34531,41270,18920,22064,34203,40736,31971,42060,.,.,.,.,28504,.,.,22153,50469,34022,35817,16903,18191,45034,22304,.,22304,13636,.,18497,26177,27209,26045,21006,21006,.,.,20447,20826,.,14169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2010e1,al,000,0116,0000017,39483,51063,54837,62134,40949,63333,61210,72135,.,43142,41415,29630,44151,33820,51402,52348,41286,26137,23314,50583,47576,56667,17568,27103,27561,26456,27282,25934,47581,66488,39129,50325,31345,27281,46745,35865,39483,50205,66016,86184,100652,41267,64783,63763,72135,.,50479,42624,.,56975,34049,120105,122166,.,46493,.,50361,47576,56491,21938,26897,7069,30164,29580,33072,47581,66488,39129,50325,37202,35422,46275,36692,30274,41251,41104,41200,40709,41615,41615,.,.,39433,.,29630,38995,.,41848,45110,37629,19484,22947,120588,.,120588,14450,.,28053,22395,21461,23464,.,.,.,.,26760,26710,.,11792,25946,13812,4363,2080,1892,188,862,567,282,13,848,207,0,553,88,573,357,216,1474,65,652,378,274,161,548,48,2183,1412,771,3754,344,1802,1608,2038,1429,521,88,12134,5011,2212,1163,1049,160,160,0,0,1190,68,121,988,13,1449,995,454,1263,571,52,0,52,426,24,190,4689,895,3794,0,0,0,0,1171,1090,38,43
ACSSF,2010e1,al,000,0116,0000018,35441,45225,53033,63255,47159,36612,36368,51357,29715,35922,48477,35216,41261,.,41604,56996,33972,22045,22422,40492,23354,41755,15774,20725,27309,32006,36305,31276,34238,17120,33445,50329,38168,40087,37983,33521,35441,38899,48172,51063,54754,46768,50160,36368,51859,.,29580,29939,.,48394,.,68483,69545,32137,26897,.,40492,23354,41755,9504,19357,.,39246,36293,39938,35706,21491,34614,50329,39328,40666,39242,31699,30895,41643,62524,64245,48979,35423,.,.,.,36991,60321,.,34628,.,40051,52555,34103,20978,22422,.,.,.,16334,21134,25451,24270,36429,24164,15427,16337,6753,.,32500,32381,30422,50018,25370,14770,3500,1099,736,363,633,255,286,92,1202,558,120,386,138,566,419,147,1326,0,588,185,403,404,227,107,2857,1113,1744,2439,99,1416,924,4648,2217,1744,687,10600,3853,999,658,341,118,0,47,71,1073,258,145,670,0,1663,867,796,1599,758,0,0,0,334,253,254,4348,810,3538,284,169,115,0,516,244,133,139
ACSSF,2010e1,al,000,0116,0000019,34827,46112,47334,49206,42004,51013,39310,52301,61908,42021,50212,50962,42482,25430,45573,55665,31355,21732,20556,35986,40110,35875,14029,21116,20898,30628,35622,28523,41591,42213,35682,47584,31977,31250,37165,27388,34827,40545,51666,52217,51739,54891,50994,29042,52301,61908,50153,50780,100590,48474,25664,93750,122054,60508,22693,20764,31750,31346,31801,14908,24196,25083,38306,42179,30030,41503,46224,35682,47242,35579,35300,40341,27143,29835,40165,42453,44701,35417,51071,51071,.,73750,33313,33438,29052,40925,19500,39003,48068,30778,18958,19861,38817,43587,38548,12125,18862,20039,27129,24078,28500,42152,.,.,49792,26250,25521,25833,28098,32647,18263,5023,2574,2046,528,529,104,315,110,1319,458,157,533,171,601,469,132,2463,55,1183,496,687,627,465,133,2989,2109,880,3983,309,1702,1972,3805,1768,1471,566,14384,5311,1599,1124,475,118,88,0,30,1609,157,105,1119,228,1985,1256,729,2667,407,370,50,320,851,457,582,5373,1745,3628,105,61,0,44,928,725,126,77
ACSSF,2010e1,al,000,0116,0000020,39501,51901,56103,56413,55688,61034,53562,64772,66649,45858,44272,96110,45078,36811,51060,61009,35260,21475,23085,40265,31833,52832,17148,18692,20560,33213,35753,32365,36734,19864,36041,39103,32043,36476,31172,26109,39501,43536,60253,61800,60653,67393,64257,58257,64566,65399,51706,43984,101098,52297,43417,64608,82717,49650,29794,19941,43383,36064,47430,15506,22316,28205,41555,50708,31594,38415,.,36723,40764,32912,38522,30730,25882,35363,46644,50313,50866,47220,53878,50897,70000,78549,41222,45097,52375,41148,29861,47628,55802,31600,20198,23110,31613,29406,62268,17239,17273,20270,31822,28704,32640,21245,.,9457,27517,27249,25435,55996,26270,203959,107185,42289,19859,13532,6327,9326,4345,3702,1279,8779,2034,1862,3066,1817,4325,3616,709,11439,962,3624,1754,1870,2885,3030,938,19734,12160,7574,13863,46,7438,6379,19860,8290,6682,4888,96774,42599,15407,8976,6431,3232,1699,816,717,13719,2421,1769,8130,1399,10241,6848,3393,14542,3578,1504,920,584,3023,3938,2499,34754,9014,25740,1762,41,792,929,3117,2023,321,773
