ACSSF,2010m1,al,000,0032,0000021,2160,3871,4272,3901,4274,3143,2687,1570,2361,1721,676,1635,1558,1397,789,146,146,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,3717,3734,2708,2334,1484,2127,891,1959,1201,317,1244,257,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,3717,3734,2708,2334,1484,2127,891,1959,1201,257,146,,,,,,,,,,,,,,,,,,,,,,466,3717,3734,1115,3715,2579,2357,1692,1555,146,273,146
ACSSF,2010m1,al,000,0032,0000022,1802,4723,4825,3471,4201,4190,2642,1606,2306,2353,1304,1849,2723,1022,2602,459,78,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471,3526,3534,2753,2418,1429,3320,1989,2355,1090,333,1036,493,459,,,,,,,,,,,,,,,,,,,,,,,,,,471,3526,3534,1681,1681,273,3474,2198,3583,2445,2718,308,440,2573,453,459,273,273,459,471,3526,3534,2753,2418,1429,3320,1989,2355,1090,493,459,,,,,,,,,,,,,,,,,,,,,,471,3526,3534,1681,3474,2198,3583,2445,2718,459,273,459
ACSSF,2010m1,al,000,0032,0000023,1197,3687,3461,3006,3675,2475,1332,908,1257,1722,872,1454,997,813,516,513,383,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518,2825,2684,2290,1101,1624,1138,577,815,486,273,486,103,513,,,,,,,,,,,,,,,,,,,,,,,,,,518,2825,2684,921,616,702,2520,1191,1984,1594,1004,194,286,923,222,513,273,273,513,518,2825,2684,2290,1101,1624,1138,577,815,486,103,513,,,,,,,,,,,,,,,,,,,,,,518,2825,2684,921,2520,1191,1984,1594,1004,513,273,513
ACSSF,2010m1,al,000,0032,0000024,2445,5983,6168,5221,6378,5586,4625,2807,3678,1726,910,1392,1524,940,1068,860,271,817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1077,5419,5322,4884,3854,2761,2187,1692,1238,866,555,547,549,865,,,,,,,,,,,,,,,,,,,,,,,,,,1077,5419,5322,3965,3812,763,3798,2779,2628,1561,2095,351,620,1360,671,865,273,273,865,1077,5419,5322,4884,3854,2761,2187,1692,1238,866,549,865,,,,,,,,,,,,,,,,,,,,,,1077,5419,5322,3965,3798,2779,2628,1561,2095,865,273,865
ACSSF,2010m1,al,000,0032,0000025,1209,3876,3677,4616,4114,3993,3422,2795,2728,2737,762,2618,679,286,609,76,273,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626,4518,4254,3406,1650,2952,2581,188,2573,1626,166,1608,209,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626,4518,4254,3406,1650,2952,2581,1626,166,1608,209,76,,,,,,,,,,626,4518,4254,1642,3989,2925,2803,2746,679,76,273,76
ACSSF,2010m1,al,000,0032,0000026,3015,8741,8758,6830,8200,8609,5777,2895,5095,1530,1084,913,2146,849,1912,1101,1051,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1406,6529,6567,6113,4090,4706,2095,1312,1388,1461,1285,735,903,1051,,,,,,,,,,,,,,,,,,,,,,,,,,1406,6529,6567,3694,3694,273,5609,5279,2750,1641,2180,338,1149,1633,615,1051,273,273,1051,1406,6529,6567,6113,4090,4706,2095,1312,1388,1461,903,1051,,,,,,,,,,,,,,,,,,,,,,1406,6529,6567,3694,5609,5279,2750,1641,2180,1051,273,1051
ACSSF,2010m1,al,000,0032,0000027,2662,5534,5843,5214,5613,5912,4524,2698,3802,1742,971,1535,1948,769,1979,1026,445,935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774,4761,4595,4327,4396,1517,2122,1525,1792,833,604,623,638,1026,,,,,,,,,,,,,,,,,,,,,,,,,,774,4761,4595,4473,4473,273,2813,1352,2728,2160,2021,205,373,2022,860,1026,273,273,1026,774,4761,4595,4327,4396,1517,2122,1525,1792,833,638,1026,,,,,,,,,,,,,,,,,,,,,,774,4761,4595,4473,2813,1352,2728,2160,2021,1026,273,1026
ACSSF,2010m1,al,000,0032,0000028,1875,4541,4328,3388,4531,3993,2567,1911,1642,1267,941,797,690,441,516,273,273,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492,3180,3213,2764,1873,1546,1318,698,968,778,395,658,106,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492,3180,3213,2764,1873,1546,1318,698,968,778,106,273,,,,,,,,,,,,,,,,,,,,,,492,3180,3213,1805,2303,1435,1597,1457,690,273,273,273
ACSSF,2010m1,al,000,0032,0000029,1146,3766,3710,3436,4175,2934,2927,1773,2159,1266,743,1036,1019,906,722,276,276,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,3321,3349,794,3275,2772,1734,1261,1019,276,273,276
ACSSF,2010m1,al,000,0032,0000030,1554,5038,4716,3864,4918,3490,2442,1315,2601,2852,1881,2137,1367,947,982,530,273,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639,3567,3446,3308,2006,3136,1203,791,932,1559,518,1495,300,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639,3567,3446,3308,2006,3136,1203,791,932,1559,300,530,,,,,,,,,,,,,,,,,,,,,,639,3567,3446,1541,3381,2225,3006,2800,1367,530,273,530
