ACSSF,2010m1,al,000,0158,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3768,1464,1454,497,1603,1590,735,1944,2323,1488,2125,1925,1518,1767,2131,1536,1892,1753,1658,1317,1370,1057,1637,1637,273,1901,1901,273,1739,799,799,273,722,767,345,518,339,357,491,337,423,1166,355,1126,337,235,281,395,389,74,45,45,273,319,319,273,,,,,,,,,,,1535,670,381,345,1168,112,1163,45,45,273,1029,984,985,11,476,383,299,248,248,273,3768,1680,1683,1100,2586,3753,3278,2919,2919,273,1739,906,1029,345,1279,842,1283,322,322,273
ACSSF,2010m1,al,000,0158,0000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3718,1150,954,684,833,400,613,1325,851,591,987,370,948,1210,335,1130,401,345,189,381,247,311,132,132,273,273,273,273,2396,1072,1064,205,1848,1768,397,623,576,249,567,529,278,353,294,230,642,445,534,568,523,230,442,442,273,222,222,273,3427,1653,1865,1045,1613,2323,1883,2441,2971,2391,2620,3006,2477,2010,3553,3045,1804,2875,2743,1138,2149,1991,1489,1498,170,1790,1790,273,1778,1409,1148,618,1338,1585,1378,1307,995,1103,1703,981,1563,1668,714,1648,1009,752,843,761,645,421,342,342,273,440,440,273,,,,,,,,,,,3718,1509,1085,803,2707,1132,2101,132,132,273,2396,2315,2219,445,1144,945,767,498,498,273,3427,1370,2802,2437,2411,6000,5599,2566,2570,170,1778,1034,1559,1472,1669,1751,2099,615,615,273
ACSSF,2010m1,al,000,0158,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,569,870,728,569,1806,1622,230,1139,1148,467,1375,1350,165,1243,1206,130,1371,1366,233,921,844,170,170,273,370,370,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835,273,2144,2144,680,3284,3217,523,523,273,93,1,709,710,342,636,685,321,321,273
ACSSF,2010m1,al,000,0158,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588,497,454,182,497,644,381,273,667,667,273,1317,1317,154,844,838,135,706,688,192,547,482,75,75,273,238,238,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588,273,433,433,363,2252,2221,297,297,273,1,2,544,544,157,559,631,157,157,273
ACSSF,2010m1,al,000,0158,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592,515,522,101,515,525,65,273,858,858,78,909,900,370,973,906,148,970,954,273,645,645,273,273,273,273,273,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592,273,121,121,592,2232,2140,273,273,273,4,4,223,223,120,354,406,121,121,273
ACSSF,2010m1,al,000,0158,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576,323,364,275,323,354,103,273,668,668,273,699,699,273,626,626,273,563,563,128,495,477,273,273,273,448,448,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576,273,300,300,128,1358,1345,448,448,273,2,4,409,409,74,800,804,74,74,273
ACSSF,2010m1,al,000,0158,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1719,345,302,194,345,654,569,362,520,411,538,598,565,348,694,584,632,857,593,90,232,185,122,122,273,305,305,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1719,273,575,575,1657,1917,1166,427,427,273,,,,,,,,,,
ACSSF,2010m1,al,000,0158,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694,485,485,273,485,599,357,75,658,647,149,942,934,237,851,862,75,684,690,141,841,840,273,19,19,384,384,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694,273,357,357,548,2328,2322,384,384,19,,,,,,,,,,
ACSSF,2010m1,al,000,0158,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737,240,244,28,428,537,445,65,535,529,248,601,615,176,320,304,127,444,433,90,299,283,147,147,273,475,475,273,273,96,171,136,96,150,146,207,188,170,278,100,287,255,134,218,150,113,122,41,25,35,155,149,75,54,54,273,,,,,,,,,,,607,251,220,213,387,246,294,273,273,273,690,696,706,62,262,225,110,56,56,273,737,345,519,444,356,1170,1201,513,513,273,273,5,216,217,156,282,273,156,152,75
ACSSF,2010m1,al,000,0158,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1211,697,794,478,788,1457,1004,318,1067,956,265,1669,1637,460,1198,1104,200,1368,1343,64,1030,1024,155,343,306,670,670,273,57,765,681,731,765,1007,1040,2,495,495,924,620,919,902,600,794,970,658,902,507,350,377,172,172,273,196,196,273,,,,,,,,,,,3756,1495,870,1189,2559,932,2483,273,273,273,1393,782,782,273,1091,798,740,180,180,273,1211,343,1375,1217,860,3522,3216,645,707,306,57,4,1209,1209,259,1248,1298,253,253,273
