ACSSF,2010e1,al,000,0022,0000011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484761,385975,331946,54029,98786,7098,91688,484761,80311,140,1888,0,209,5535,33029,977,3932,278,22465,393,466,45508,3910,0,369,1641,75,511,4860,6531,0,2566,862,0,20,1271,197,217355,98786,484761,385975,331946,54029,98786
ACSSF,2010e1,al,000,0022,0000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1363839,1065013,860724,204289,298826,34584,264242,1363839,220641,974,4510,1608,880,13854,109207,8704,21764,1613,95534,1428,1187,147313,18050,619,3995,8307,1034,1610,20563,22909,334,12990,3949,983,350,3441,961,522857,298826,1363839,1065013,860724,204289,298826
ACSSF,2010e1,al,000,0022,0000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183195,146476,105220,41256,36719,3628,33091,183195,31580,223,1158,984,487,3623,24903,2790,7805,342,19339,332,316,21350,6961,58,1517,1964,242,0,3843,5851,313,687,1620,610,80,469,33,47109,36719,183195,146476,105220,41256,36719
ACSSF,2010e1,al,000,0022,0000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118510,84510,66687,17823,34000,1142,32858,118510,16311,37,823,0,0,2377,9602,1039,1745,337,7757,135,678,10741,4785,0,293,496,0,23,1297,1633,0,715,754,47,320,63,109,38934,34000,118510,84510,66687,17823,34000
ACSSF,2010e1,al,000,0022,0000015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80459,63080,41634,21446,17379,743,16636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80459,63080,41634,21446,17379
ACSSF,2010e1,al,000,0022,0000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71151,50092,36785,13307,21059,1141,19918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71151,50092,36785,13307,21059
ACSSF,2010e1,al,000,0022,0000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79549,67798,49874,17924,11751,1031,10720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79549,67798,49874,17924,11751
ACSSF,2010e1,al,000,0022,0000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104462,77236,62184,15052,27226,561,26665,104462,15250,0,225,15,114,1831,14525,425,623,0,7530,83,75,11825,752,37,313,211,57,55,1688,2934,0,212,567,289,0,505,0,31403,27226,104462,77236,62184,15052,27226
ACSSF,2010e1,al,000,0022,0000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101888,89764,72675,17089,12124,1520,10604,101888,15870,163,292,66,44,938,7022,717,1694,71,7813,129,122,11519,1866,0,191,419,15,152,1658,1476,0,209,256,94,0,166,232,50427,12124,101888,89764,72675,17089,12124
ACSSF,2010e1,al,000,0022,0000020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658555,551400,467629,83771,107155,7396,99759,658555,49560,1961,2364,524,451,4530,58497,4742,11371,693,40560,1564,680,50451,12332,175,1235,3602,0,1453,12533,16048,348,6492,1816,770,655,3663,1162,337087,107155,658555,551400,467629,83771,107155
ACSSF,2010e1,al,000,0022,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92679,74008,64109,9899,18671,900,17771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92679,74008,64109,9899,18671
ACSSF,2010e1,al,000,0022,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140780,116426,88877,27549,24354,1348,23006,140780,12271,189,732,65,13,998,20604,1402,3213,306,11745,577,84,16883,1809,38,724,2140,84,560,2096,5229,14,1704,475,56,97,647,14,57820,24354,140780,116426,88877,27549,24354
ACSSF,2010e1,al,000,0022,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83193,68937,54663,14274,14256,1238,13018,83193,19341,264,74,0,0,1118,6938,1294,1452,287,6181,270,0,9427,1906,0,181,1142,514,0,618,1411,60,175,834,58,44,335,0,27956,14256,83193,68937,54663,14274,14256
ACSSF,2010e1,al,000,0022,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335988,280421,214270,66151,55567,4024,51543,335988,41623,631,1741,561,691,3455,35775,6200,9377,526,32182,1130,659,28652,8590,295,1454,4171,782,738,6477,8382,335,4837,2031,141,368,1037,1935,134296,55567,335988,280421,214270,66151,55567
ACSSF,2010e1,al,000,0022,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93235,65504,48572,16932,27731,874,26857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93235,65504,48572,16932,27731
