,Geography,Geographic_Area_Name,Total,Total_Male,Total_Male_Under_5_years,Total_Male_5_to_9_years,Total_Male_10_to_14_years,Total_Male_15_to_17_years,Total_Male_18_and_19_years,Total_Male_20_years,Total_Male_21_years,Total_Male_22_to_24_years,Total_Male_25_to_29_years,Total_Male_30_to_34_years,Total_Male_35_to_39_years,Total_Male_40_to_44_years,Total_Male_45_to_49_years,Total_Male_50_to_54_years,Total_Male_55_to_59_years,Total_Male_60_and_61_years,Total_Male_62_to_64_years,Total_Male_65_and_66_years,Total_Male_67_to_69_years,Total_Male_70_to_74_years,Total_Male_75_to_79_years,Total_Male_80_to_84_years,Total_Male_85_years_and_over,Total_Female,Total_Female_Under_5_years,Total_Female_5_to_9_years,Total_Female_10_to_14_years,Total_Female_15_to_17_years,Total_Female_18_and_19_years,Total_Female_20_years,Total_Female_21_years,Total_Female_22_to_24_years,Total_Female_25_to_29_years,Total_Female_30_to_34_years,Total_Female_35_to_39_years,Total_Female_40_to_44_years,Total_Female_45_to_49_years,Total_Female_50_to_54_years,Total_Female_55_to_59_years,Total_Female_60_and_61_years,Total_Female_62_to_64_years,Total_Female_65_and_66_years,Total_Female_67_to_69_years,Total_Female_70_to_74_years,Total_Female_75_to_79_years,Total_Female_80_to_84_years,Total_Female_85_years_and_over
26,0500000US04003,"Cochise County, Arizona",125922,64204,3494,4374,3553,2147,1803,1075,755,2377,4216,3977,4276,3232,3074,3545,4077,1047,3122,2155,2012,3998,2977,1786,1132,61718,3361,3577,3884,2613,861,99,730,2786,3841,3433,2582,4098,3012,3493,3648,2263,2558,1482,2199,4480,2492,1967,2259
27,0500000US04005,"Coconino County, Arizona",143476,71036,3368,4866,3851,2877,5841,2335,1594,3615,6584,4569,4496,3099,3283,3874,4851,1102,2236,879,1577,3055,1559,1078,447,72440,3532,2883,4778,1850,6588,3500,3015,4301,4815,4029,4139,3549,3559,3529,4241,1722,2419,1523,2071,2785,2118,944,550
28,0500000US04013,"Maricopa County, Arizona",4485414,2217116,140990,141728,161892,92101,61111,30375,28702,92858,173671,161912,146461,146098,140695,133649,129358,51107,70509,39902,57243,87896,60980,39988,27890,2268298,135129,141982,150472,88145,58113,28732,28509,87499,167245,155854,145528,145727,144636,136923,142070,54130,75036,45964,70820,100489,70237,50551,44507
29,0500000US04015,"Mohave County, Arizona",212181,106919,4597,4882,5520,2755,1746,1481,1274,2255,5884,4947,5775,4382,5867,5934,6150,4898,5985,4439,5956,8138,7501,4698,1855,105262,4400,4334,5682,3435,2445,438,725,3001,4804,4474,5229,3895,5257,5798,7099,4452,6554,3578,6427,8630,6946,4489,3170
30,0500000US04017,"Navajo County, Arizona",110924,54994,3637,4112,4358,2206,1438,507,953,1617,3782,2964,3314,3397,2914,2897,3306,1545,2299,1381,2000,2762,1740,1199,666,55930,3811,4003,4658,2337,1040,260,544,1957,3639,2408,2848,3469,2996,3202,4421,1556,1969,1353,2359,2848,1818,1716,718
31,0500000US04019,"Pima County, Arizona",1047279,516110,29248,28270,33929,19087,16124,9574,9061,26587,39349,32228,33248,26907,27988,27102,31436,10922,18436,13364,17605,24323,18450,13364,9508,531169,27865,32329,27385,17493,16322,10832,9648,23076,35442,28866,29987,30162,29184,28267,32195,15135,20999,14307,20154,30121,22414,15427,13559
32,0500000US04021,"Pinal County, Arizona",462789,241369,12898,12434,17937,9174,6477,2811,3037,8056,17782,16965,17575,15691,14392,13257,14537,5300,7276,6021,8316,12002,10593,4255,4583,221420,12592,15695,13957,7886,5375,2132,2077,6233,12581,13390,15263,12457,11983,11293,14614,5605,8391,5716,10053,14409,10554,5347,3817
33,0500000US04025,"Yavapai County, Arizona",235099,115634,4981,5878,4909,4040,3457,2146,1167,2581,4673,5285,4885,5244,6189,5770,8100,4480,5297,4392,6966,10745,7385,4013,3051,119465,4240,4521,5736,2862,2491,932,690,2527,5381,4378,4913,5923,6601,5753,8780,5720,7439,4770,7816,12036,7863,4103,3990
34,0500000US04027,"Yuma County, Arizona",213787,110189,7557,7491,7850,4188,3236,1199,1618,7454,8713,7797,6839,5594,5058,5675,4680,2555,3364,1916,2652,4670,4793,3612,1678,103598,7542,6807,7700,4436,3081,2254,1215,3072,6776,6741,5558,4976,5502,5454,5780,2253,2964,2268,3049,5265,5131,3254,2520
35,0500000US05007,"Benton County, Arkansas",279141,138732,9770,12653,8872,6632,3555,1333,1342,5357,10606,10055,9499,11211,8775,7867,8327,2475,3497,2539,3669,3873,3495,1834,1496,140409,8506,10708,10207,5910,3087,1180,1051,5775,9418,11044,10871,8743,9194,7961,7973,4083,3419,2273,4802,5225,3827,2607,2545
36,0500000US05031,"Craighead County, Arkansas",110332,53780,4143,3985,3455,2245,1737,1040,298,3413,5217,3179,3114,4195,3137,2997,3685,362,1399,799,1270,1591,879,1128,512,56552,3068,3350,4070,1820,2197,700,764,2234,3971,4040,5074,3303,3175,3987,2770,1256,2071,946,1109,2369,1965,1478,835
37,0500000US05045,"Faulkner County, Arkansas",126007,60876,3168,4301,4842,2393,2207,2189,1165,4460,4017,4002,4920,3193,3551,3205,3790,1079,1569,767,1201,2412,1680,432,333,65131,3450,3738,4203,2474,3052,2337,1469,3875,4504,3970,5216,3648,3672,3135,3825,1307,1971,1277,2507,2021,1794,988,698
38,0500000US05051,"Garland County, Arkansas",99386,47064,2764,2491,2907,1985,1152,423,758,1729,2589,2190,2537,2867,2981,2652,2696,1489,2021,1397,2096,2784,2638,900,1018,52322,2192,3012,2231,1957,1030,822,281,1087,3083,3129,2911,3524,2789,3187,4160,1557,2404,790,2037,4218,2307,2007,1607
39,0500000US05069,"Jefferson County, Arkansas",66824,32559,1243,3092,1371,1390,525,549,767,1169,2830,1907,2167,2084,1932,2011,1952,806,1552,602,905,1807,1178,259,461,34265,2731,1449,2086,1160,708,633,993,1239,1942,2231,1420,2021,1948,2115,2374,1040,1373,573,1386,1892,993,1029,929
40,0500000US05085,"Lonoke County, Arkansas",73309,35307,2470,2032,3187,1597,940,909,109,898,2494,2248,2478,2560,2255,2450,2250,449,1391,610,1052,1241,777,582,328,38002,2289,1900,3364,1778,578,302,636,1019,2438,2999,3644,1751,2492,2505,1736,888,1870,783,1183,1291,1013,513,1030
41,0500000US05119,"Pulaski County, Arkansas",391911,186858,13067,12071,13607,7208,4090,902,2360,8963,14784,13014,13682,10597,11390,10913,11362,4446,6708,4490,4981,8119,5003,2204,2897,205053,12729,13192,11162,7213,4137,1786,1548,9192,15252,14492,13580,13120,12704,11860,13785,5563,7458,5221,6989,8840,5036,3437,6757
