,Geography,Geographic_Area_Name,Total,Total_Male,Total_Male_Under_5_years,Total_Male_5_to_9_years,Total_Male_10_to_14_years,Total_Male_15_to_17_years,Total_Male_18_and_19_years,Total_Male_20_years,Total_Male_21_years,Total_Male_22_to_24_years,Total_Male_25_to_29_years,Total_Male_30_to_34_years,Total_Male_35_to_39_years,Total_Male_40_to_44_years,Total_Male_45_to_49_years,Total_Male_50_to_54_years,Total_Male_55_to_59_years,Total_Male_60_and_61_years,Total_Male_62_to_64_years,Total_Male_65_and_66_years,Total_Male_67_to_69_years,Total_Male_70_to_74_years,Total_Male_75_to_79_years,Total_Male_80_to_84_years,Total_Male_85_years_and_over,Total_Female,Total_Female_Under_5_years,Total_Female_5_to_9_years,Total_Female_10_to_14_years,Total_Female_15_to_17_years,Total_Female_18_and_19_years,Total_Female_20_years,Total_Female_21_years,Total_Female_22_to_24_years,Total_Female_25_to_29_years,Total_Female_30_to_34_years,Total_Female_35_to_39_years,Total_Female_40_to_44_years,Total_Female_45_to_49_years,Total_Female_50_to_54_years,Total_Female_55_to_59_years,Total_Female_60_and_61_years,Total_Female_62_to_64_years,Total_Female_65_and_66_years,Total_Female_67_to_69_years,Total_Female_70_to_74_years,Total_Female_75_to_79_years,Total_Female_80_to_84_years,Total_Female_85_years_and_over
410,0500000US32003,"Clark County, Nevada",2266715,1130623,71142,69915,81197,43976,26282,13587,14716,39893,86308,84578,83325,74282,76393,72864,68666,26333,37937,21980,32467,43615,30957,17639,12571,1136092,67851,69513,74572,42631,24537,13160,12082,40714,84359,82152,82039,73446,77061,71409,72358,25716,39062,27732,32331,51013,33977,20624,17753
411,0500000US32031,"Washoe County, Nevada",471519,237795,13259,14053,15733,8336,6097,3669,4510,7900,18176,18528,15169,15180,13788,14902,15032,5942,9701,6818,7171,10156,7411,3933,2331,233724,13264,12284,15372,8228,5681,4320,4060,6600,17250,16893,14734,14131,13586,14430,15573,6594,8981,5883,8092,11825,8177,4430,3336
412,0500000US33005,"Cheshire County, New Hampshire",76085,36982,1644,1490,2430,1218,1530,1137,659,1070,2205,2416,1738,1948,1972,2514,2617,1330,1873,869,1673,2129,1229,243,1048,39103,1651,2049,2221,1120,1497,931,441,1300,2141,2375,2061,1992,2043,2497,3105,1936,1175,1263,1460,2198,858,1354,1435
413,0500000US33009,"Grafton County, New Hampshire",89886,44521,1678,1979,2110,1461,2684,1173,348,1563,3090,2689,2152,2448,2727,2552,3288,1601,1978,1354,2136,2122,1728,905,755,45365,2080,2026,1810,1320,2110,459,1311,1594,2677,2663,2219,2935,2505,2694,2909,1702,2439,1449,1402,2782,1532,893,1854
414,0500000US33011,"Hillsborough County, New Hampshire",417025,207682,11138,10893,13355,8039,4410,2814,1658,8890,15717,13972,12908,13960,13345,15082,16753,6795,8156,4731,5722,8358,4767,3294,2925,209343,10384,9929,12974,7557,4886,1994,2248,8254,13727,14086,12793,12838,13907,14987,15902,6233,9298,4927,6388,9498,7572,5367,3594
415,0500000US33013,"Merrimack County, New Hampshire",151391,74441,3416,5302,2921,2907,2116,1179,606,3444,4625,5119,4198,4300,4981,5613,5913,1875,3407,2339,2500,3080,2123,1156,1321,76950,3657,4278,3839,2719,2093,1536,814,2054,4270,4490,5214,3835,5071,5293,5995,2597,3618,2313,2440,4116,3136,1313,2259
416,0500000US33015,"Rockingham County, New Hampshire",309769,152747,7811,8768,7415,6100,3387,1328,1195,5681,9672,9823,8856,9180,10405,11743,13516,5178,6527,3524,5726,7506,4361,2954,2091,157022,6994,7302,9393,5860,2626,1661,1402,4937,8513,9782,10186,8194,10622,11928,14257,4070,7723,2767,6816,8870,5627,3265,4227
417,0500000US33017,"Strafford County, New Hampshire",130633,64304,3142,3160,4023,1961,3059,912,1392,4519,4793,3987,3660,4239,3472,4142,4263,2315,2173,888,2336,2692,1211,1268,697,66329,3041,2412,3841,1903,4362,1529,1300,3460,4285,3798,3797,3699,3990,4315,5677,1618,1799,1547,2249,2752,1314,1532,2109
418,0500000US34001,"Atlantic County, New Jersey",263670,128571,7108,7030,9750,5266,3409,1945,1763,5049,8150,7182,6950,8496,6830,8694,9360,3386,6318,2584,4884,6121,3561,2879,1856,135099,6386,7374,8300,4281,3519,2110,2333,4555,7220,7571,8075,7962,7689,9638,10088,4180,6588,2821,5555,6968,4837,3620,3429
419,0500000US34003,"Bergen County, New Jersey",932202,452446,24619,27597,29087,18657,10195,6220,4924,16705,26335,27712,29004,31701,31107,32774,33849,11089,19180,8885,13008,20414,12355,8692,8337,479756,24554,25949,28248,17599,9986,5142,5938,15053,26836,27324,29518,33591,33105,35043,35058,13997,19895,10685,14423,22910,18065,12372,14465
420,0500000US34005,"Burlington County, New Jersey",445349,219259,11676,13200,13420,8647,4838,2873,4137,8299,14981,14022,14263,13396,14970,15071,16216,5733,10020,4369,6946,8652,6150,3493,3887,226090,11057,12142,13611,8406,4686,2019,2088,7959,13480,13580,14593,13060,15192,16248,18588,6742,8772,5485,7840,10552,8415,5631,5944
421,0500000US34007,"Camden County, New Jersey",506471,244527,15458,17013,15693,10256,7061,2132,3432,8312,17826,17438,18507,12810,15461,15866,16448,7171,9003,6329,6407,8450,7224,3484,2746,261944,14822,15425,15920,9418,5558,2489,3894,8162,17923,17658,16779,16562,16760,17535,17097,7322,11601,6406,7548,12192,8161,5187,7525
422,0500000US34009,"Cape May County, New Jersey",92039,44588,1841,2653,2405,1365,697,772,391,1110,2330,2179,2761,1791,2965,2922,2628,1947,2744,1195,2269,3101,1883,1393,1246,47451,1780,2268,2299,1339,567,119,607,1869,2196,2533,2403,1890,2444,2705,4299,1770,2629,1593,2652,3415,2709,1739,1626
423,0500000US34011,"Cumberland County, New Jersey",149527,77328,3982,5225,6127,4057,2513,482,741,2070,6249,6154,6910,4072,5399,4030,4823,1466,2778,1913,2012,2617,1717,949,1042,72199,4204,4289,6061,1611,1537,429,860,2638,4908,4712,4388,4405,4617,4751,4487,2080,2968,2132,2682,2647,2410,1406,1977
424,0500000US34013,"Essex County, New Jersey",798975,384491,26889,25700,28457,15729,10097,3596,5263,15924,27398,26938,25059,28536,26977,26164,22558,9388,14450,7187,9037,11552,8582,4782,4228,414484,25753,23467,28265,15118,9554,6495,3775,14629,28150,28008,29238,27987,28789,27994,26913,9270,15372,7322,12347,15996,12559,7423,10060
425,0500000US34015,"Gloucester County, New Jersey",291636,141734,7729,9338,9043,5899,3501,2556,940,6343,9027,8502,8986,8896,9624,10148,9501,5127,6132,2812,4518,5698,3124,2580,1710,149902,7533,8714,9148,5695,3607,1595,2281,5158,8721,8622,9712,9575,10492,10565,10061,4816,6725,3637,4804,7039,4032,3927,3443
426,0500000US34017,"Hudson County, New Jersey",672391,334604,23667,18610,17490,9033,7356,3481,3782,12576,35088,37702,30714,25677,20794,19551,18347,8004,8314,4897,7280,8863,6532,3422,3424,337787,22758,19195,15814,9960,6043,2967,3768,12095,33881,34899,27243,24052,20363,19791,18602,8731,9883,5701,7472,12912,8630,5984,7043
427,0500000US34019,"Hunterdon County, New Jersey",124371,61737,2680,2876,3907,2594,1506,514,951,2685,3205,2657,3607,3521,4171,4923,4778,2731,3055,2478,2242,2437,2083,1533,603,62634,2323,3330,3330,2672,1206,288,573,2159,3343,2900,3035,4005,4089,5644,5147,2952,2705,1399,1985,3842,2728,1628,1351
428,0500000US34021,"Mercer County, New Jersey",367430,178912,10671,12295,10133,6185,6701,2719,4324,6458,12309,11289,11224,11923,12328,12353,11149,5574,6769,4120,4343,6402,3303,3189,3151,188518,10080,8425,12723,7550,8426,3055,3363,6107,11248,10900,12146,11065,12634,12812,11898,5468,7639,4351,4457,8560,5992,4380,5239
429,0500000US34023,"Middlesex County, New Jersey",825062,407890,24173,23621,27304,16628,12244,6870,7393,12802,27225,28241,27551,29877,28034,27505,27683,10300,14556,8815,11689,13566,8449,7154,6210,417172,22938,24290,24833,14661,11458,5362,5549,15295,26539,27136,28854,27320,27457,27894,29308,11661,14738,8166,13638,17342,12247,8652,11834
430,0500000US34025,"Monmouth County, New Jersey",618795,301411,15465,19680,17866,13292,7194,3577,4346,11249,17925,15841,18805,16314,20141,22655,24144,10885,12818,6906,9388,14547,8853,5031,4489,317384,14880,18650,17545,12225,6711,3130,2849,10869,18379,16048,19569,16743,21246,24480,25740,10425,14725,6678,11719,15894,11695,7509,9675
431,0500000US34027,"Morris County, New Jersey",491845,242080,12418,14282,15653,10582,6465,3992,1551,9002,13573,14618,13541,16323,16683,19046,18830,8792,8744,6535,6719,9127,6701,5104,3799,249765,12100,12176,15456,9812,5803,2434,2742,9903,12706,13388,13220,16904,17732,19672,19903,8000,9587,5903,7925,11175,9471,5076,8677
432,0500000US34029,"Ocean County, New Jersey",607186,293379,22522,21451,19911,11399,6211,2827,2260,11024,17850,16215,15155,15879,15539,17356,18185,7872,12740,8045,10872,14014,10973,8231,6848,313807,20438,18696,21067,11206,5038,3033,3997,9603,17306,15584,16362,14142,16532,18136,20064,8878,14379,9745,13203,17622,15836,12266,10674
433,0500000US34031,"Passaic County, New Jersey",501826,244825,17041,14599,19008,10032,7226,4187,3857,8655,17465,16964,14211,16769,15489,16127,17571,4850,8411,5690,4948,9394,5729,2934,3668,257001,16583,15045,16962,9748,7309,3618,3627,9726,17330,16223,15179,16447,16289,17032,15458,7258,10351,6199,7232,10104,7881,4719,6681
434,0500000US34033,"Salem County, New Jersey",62385,29904,1573,1182,1968,1491,813,136,134,1596,1446,1906,1942,1961,1625,2499,1883,1043,1160,748,731,1810,1418,369,470,32481,1982,2256,1559,1118,327,378,384,1247,1793,1580,1927,1794,2400,2173,1985,1027,1748,1069,735,1921,1516,537,1025
435,0500000US34035,"Somerset County, New Jersey",328934,161761,8348,10104,11199,7616,4280,2656,1977,5523,8823,8990,11081,9119,11944,12837,13804,3888,6513,3445,4943,5817,3289,2683,2882,167173,7475,10115,9699,6201,3894,1560,1677,6167,8877,9116,11212,10744,11739,13307,13922,4191,7149,4229,5086,6651,4916,3692,5554
436,0500000US34037,"Sussex County, New Jersey",140488,69839,3437,3399,4521,2762,1903,699,790,2460,4383,3838,3734,3991,5177,5521,6166,2662,2969,2278,2016,3013,2261,895,964,70649,2624,3505,4333,2665,1422,884,1050,2196,3688,3230,3932,5143,4401,5920,5781,2825,3858,2154,2629,3135,1969,1404,1901
437,0500000US34039,"Union County, New Jersey",556341,271642,17954,18843,18154,10683,6816,2808,2643,11166,17755,17694,19441,18911,19178,19184,17966,6022,11488,4969,6669,9530,6594,3216,3958,284699,17301,15735,20409,10970,6316,3553,2313,10824,17097,18071,20573,17856,19171,20075,21546,8014,8048,5745,8384,10932,6781,7426,7559
438,0500000US34041,"Warren County, New Jersey",105267,51663,2294,3269,2774,2021,1301,389,644,1932,3326,3274,2714,2874,3386,4237,3733,1691,2648,1668,1682,2284,1724,1205,593,53604,2809,1579,3752,1854,1609,795,255,1828,2659,3070,2723,3179,3921,4214,4685,1362,2604,929,1339,3309,1416,1496,2217
439,0500000US35001,"Bernalillo County, New Mexico",679121,332147,18486,20631,21670,12604,8749,4310,4892,12872,26203,24701,24045,21720,19977,18885,20498,6500,14707,8163,9602,13482,9440,4463,5547,346974,18341,17983,22291,13059,7723,4219,4127,13169,25437,24109,25775,19503,19971,20567,21833,9680,14983,8925,12312,16055,10172,7512,9228
440,0500000US35005,"Chaves County, New Mexico",64615,31959,1963,1781,3161,1351,2065,107,64,1020,1762,2688,2295,1686,1719,1698,2155,1037,774,927,537,1504,555,748,362,32656,2190,2482,2758,1102,1092,193,369,1008,2146,1949,1994,1917,1961,1864,2109,738,1098,745,636,1764,1079,534,928
441,0500000US35013,"Doña Ana County, New Mexico",218195,107015,6806,7138,8041,4615,4219,2018,3464,5642,8717,6905,6675,5122,5308,4940,5227,2511,3054,3125,3182,3480,3217,2113,1496,111180,6608,6296,8761,4413,4334,2080,1738,7443,7961,6139,6857,5253,5842,5776,6506,3085,3527,1866,3694,4882,3951,2662,1506
442,0500000US35025,"Lea County, New Mexico",71070,36824,2903,3428,2897,1937,1489,307,539,1440,2662,1607,3459,2088,2602,1969,2323,876,981,721,668,549,253,699,427,34246,3002,3801,2341,831,1280,91,731,1576,2109,2040,3354,1321,2125,1509,1824,442,1490,544,727,1143,580,927,458
443,0500000US35031,"McKinley County, New Mexico",71367,33125,2324,2461,2824,1359,907,566,450,1202,3014,2866,1795,2305,1634,1804,1903,675,853,424,880,1026,839,273,741,38242,2575,3108,4019,1415,1110,387,462,1488,2527,2756,1595,2490,1980,2397,1776,916,1349,1020,831,1477,1394,752,418
444,0500000US35035,"Otero County, New Mexico",67490,35491,2443,3023,1473,1326,1100,373,196,1887,3629,2026,2166,2567,1857,1672,2391,1032,799,742,1087,1509,1174,643,376,31999,1979,2455,1952,829,1211,187,443,1204,1769,1593,1368,2421,1888,2314,2363,549,1200,735,1033,1756,2017,373,360
445,0500000US35043,"Sandoval County, New Mexico",146748,72134,4444,3889,6183,3185,2201,1182,753,1509,4667,4810,3935,5075,4524,4138,4392,1725,3143,1614,2139,4202,2578,1061,785,74614,3258,5097,4531,2816,1481,488,993,2520,4576,4527,5018,4613,4806,4269,5200,2263,3486,2090,3471,3389,2631,1334,1757
446,0500000US35045,"San Juan County, New Mexico",123958,61512,3813,5087,4876,3001,1716,757,241,2578,4207,4187,2774,4820,3908,2838,4584,1537,1960,1144,1777,2284,1252,1459,712,62446,3879,4001,5131,2578,1211,658,408,2854,4429,4073,4459,3178,3682,3181,3613,1883,2603,1398,2051,2300,1876,1223,1777
447,0500000US35049,"Santa Fe County, New Mexico",150358,72431,3117,3573,4032,2385,2251,615,492,2403,4069,4241,4445,4152,4261,4415,4949,2532,3055,2584,3331,5256,3023,2061,1189,77927,2969,3330,4389,2433,560,1151,616,3200,4033,4517,4946,3617,5306,3872,6364,2171,3961,2629,4775,5391,3596,1946,2155
448,0500000US35061,"Valencia County, New Mexico",76688,39329,2504,2666,2822,2422,1067,152,779,2379,2046,1205,3932,977,2508,2253,2000,885,2076,1200,1501,1596,1328,814,217,37359,1417,1757,2811,672,1294,1020,443,2207,1577,2617,2098,2032,2544,1984,2821,828,1796,781,1655,2063,1448,1011,483
449,0500000US36001,"Albany County, New York",305506,147290,7813,6960,8834,4339,6452,3880,1853,9436,10678,9468,9741,7967,7980,9530,10405,3614,5461,3915,3785,6483,3937,1946,2813,158216,7390,6696,8264,5469,7534,2951,3372,8423,11003,9580,9429,8780,8620,9429,10199,5131,5328,3047,4791,8814,5714,3294,4958
450,0500000US36005,"Bronx County, New York",1418207,669355,50893,44644,53412,28789,19554,11299,10161,28307,58802,52014,42727,41400,39209,40688,37722,15335,19877,10212,14553,20086,13507,8077,8087,748852,49154,44260,49620,27291,18278,11316,8359,30057,60814,55483,47572,48819,45496,47962,47776,16022,25643,12938,21064,26816,22631,15768,15713
451,0500000US36007,"Broome County, New York",190488,94225,5668,4993,5138,3512,4282,2241,2102,5698,5831,4912,4786,4955,4584,5804,6200,3489,3669,2235,3134,4197,3678,1472,1645,96263,5086,4715,4789,2862,3977,2369,2268,4114,6057,4928,5005,5320,4776,5575,7162,2671,3904,2989,3048,4382,4306,3111,2849
452,0500000US36009,"Cattaraugus County, New York",76117,38132,2366,2412,2172,1729,1073,684,492,1094,2235,2195,2178,2022,2176,2507,2644,1402,1600,1017,1010,2339,1650,630,505,37985,2040,2196,2397,1298,962,522,300,1477,1973,2111,1799,2236,2234,2360,2961,1144,1664,1373,1786,1653,1550,847,1102
453,0500000US36011,"Cayuga County, New York",76576,38865,1893,1697,2379,1342,707,748,245,1230,2494,2413,2966,2330,2662,2904,2975,1056,1888,846,1419,1996,1039,959,677,37711,1889,1872,2442,1204,832,395,335,1306,2094,1980,2222,1992,2118,2536,3353,1518,1516,1021,1298,2170,1633,534,1451
454,0500000US36013,"Chautauqua County, New York",126903,61511,3216,4320,2658,2252,2154,1034,1276,1999,3689,3648,3398,3455,3845,3999,4432,1924,2613,1499,1818,3736,2006,804,1736,65392,3520,3213,3692,2575,2313,472,1056,2098,3452,3856,3994,2820,3727,3835,5716,2178,2459,1740,1991,3948,1921,2203,2613
455,0500000US36015,"Chemung County, New York",83456,41145,2183,2235,2328,1880,945,605,383,1415,2745,3110,2342,2332,2387,3062,2985,1546,1709,983,1482,1724,1195,565,1004,42311,2136,2619,2483,1421,831,342,1049,1026,2514,2390,1974,2534,2264,3244,3326,1192,1904,1123,1313,2346,1307,1498,1475
456,0500000US36019,"Clinton County, New York",80485,41294,1804,1775,2076,1142,1456,749,546,2500,2959,2983,2574,3064,2785,2627,3236,1211,1320,1168,1554,1283,1178,478,826,39191,1862,2135,1887,1124,1964,1408,1286,766,2358,1940,2193,2142,2274,2446,2430,1581,1829,690,1300,2197,1379,973,1027
457,0500000US36027,"Dutchess County, New York",294218,146449,6246,6593,9953,5562,5949,3203,1829,5169,8960,8548,8443,9299,9710,10611,10818,4604,7250,3339,4461,6410,4368,2585,2539,147769,6401,8022,7053,5062,5261,2142,2849,4923,8933,7680,8953,8473,9330,10766,12843,3733,6152,3905,4430,7497,5448,3832,4081
458,0500000US36029,"Erie County, New York",918702,444435,25539,24124,27912,16513,12368,5556,7188,16843,33723,32714,27020,25183,25196,28885,31111,12823,18911,10656,16877,16960,11920,8083,8330,474267,24562,23359,26965,16299,12276,4908,5170,19138,32836,32612,28676,24587,26845,30761,34222,14522,20348,11551,16400,23107,16733,12124,16266
459,0500000US36045,"Jefferson County, New York",109834,57906,4132,3786,3250,2261,1486,1267,1925,4244,5662,4737,3721,3185,2405,2946,2881,1555,1523,1117,1283,1884,1055,860,741,51928,4159,3521,2898,1934,1471,658,872,1951,3689,4369,3390,2428,2390,2910,3411,1668,1524,1088,1477,2155,1933,1408,624
460,0500000US36047,"Kings County, New York",2559903,1212991,94201,77394,81563,44055,25043,14102,12842,46089,113361,114749,93834,78163,70565,66975,65559,26416,37332,21171,27830,42480,26053,17002,16212,1346912,88586,74185,78023,42123,24272,13806,13819,52257,123331,119247,97346,88215,80691,77642,75326,35211,46202,27989,36138,54524,38616,29313,30050
461,0500000US36051,"Livingston County, New York",62914,32260,1386,1298,2020,1311,1455,711,1462,1102,1858,1773,1773,1881,1986,2051,2539,988,1281,559,1362,1447,814,461,742,30654,1318,1474,1478,988,2014,1437,428,1078,1457,1382,1506,1650,1604,2015,2305,1033,1270,781,919,1754,1421,563,779
462,0500000US36053,"Madison County, New York",70941,35365,1765,2752,1362,1213,1922,1137,524,1154,1890,1921,1521,2275,1894,2336,2633,1140,1707,767,1707,1421,1054,895,375,35576,1573,1516,2070,1348,1737,847,568,1346,1731,1822,1656,1890,1982,2456,2959,1380,1379,976,1936,1251,1570,688,895
463,0500000US36055,"Monroe County, New York",741770,358280,20987,19001,24863,13879,11483,5164,5065,14436,26572,25757,23013,18431,20290,22860,24557,9889,14456,6548,12538,15693,9246,6864,6688,383490,19297,18892,23038,12993,10446,3792,5994,15526,27073,26510,23463,20656,22457,24758,28245,11472,13932,8962,12002,19647,11057,11137,12141
464,0500000US36059,"Nassau County, New York",1356924,662102,37828,41322,43138,27002,16788,7981,7299,27705,42024,38993,38877,42153,42614,46463,49248,20048,24895,16739,20352,27181,17251,13202,12999,694822,36258,38977,40784,25646,15778,8093,7543,25802,40093,38601,38240,44544,44482,49870,50645,20673,29849,17463,22883,32291,21658,19793,24856
465,0500000US36061,"New York County, New York",1628706,771278,38723,31586,30050,16722,14792,7245,7703,34782,89128,86207,66695,49658,48725,47998,47055,16266,24614,16226,18213,29599,19802,14452,15037,857428,37408,28679,31794,16909,19184,10214,10280,41084,98118,88278,60302,57363,49997,48631,47340,21560,27013,19243,24679,41076,30381,23935,23960
466,0500000US36063,"Niagara County, New York",209281,102656,5240,5414,6797,3559,2481,1218,1676,2910,7056,7342,6279,5122,6048,6607,7750,3460,5152,3250,3730,4825,3089,1963,1688,106625,5784,5566,5866,3472,2314,514,1143,4183,6479,6455,6601,5190,6319,7227,8732,3164,5084,2579,4362,5382,4008,2931,3270
467,0500000US36065,"Oneida County, New York",228671,113929,6349,7114,7200,4338,3824,1611,1351,4783,7445,7727,6093,7152,6849,7170,7605,3333,4963,2339,4048,4961,3810,2387,1477,114742,6109,6371,6895,4141,2661,1192,1369,4531,6647,7385,5813,6279,7066,7176,7743,4210,4471,2688,4114,5796,4006,3211,4868
468,0500000US36067,"Onondaga County, New York",460528,221732,13015,11953,16037,8805,8062,3333,3010,8907,15013,14721,13171,11998,13024,14504,15760,6002,9516,5083,7277,8906,5687,3870,4078,238796,12816,13069,13017,8381,9021,2783,2983,9389,15628,15504,15567,12116,13670,15832,15515,7975,10349,5698,7544,11140,7741,4736,8322
469,0500000US36069,"Ontario County, New York",109777,53892,2362,3401,3908,1883,1995,453,672,1991,3063,3495,2897,2800,3234,3780,4375,1634,2077,1133,2009,3002,1727,1158,843,55885,2381,2866,3044,1930,1573,657,690,1936,2829,3564,3191,2690,3278,3955,4460,2103,2072,1849,1597,3634,2444,1476,1666
470,0500000US36071,"Orange County, New York",384940,193819,13845,12718,15688,8702,6454,4249,2861,9540,10988,12031,11345,11221,12348,12854,12681,4992,6831,4805,4299,6425,5273,2257,1412,191121,11979,14132,12164,8578,4587,2626,3321,7176,11097,10969,12100,10971,12739,13144,12162,5019,7534,3559,5061,8852,4485,4553,4313
471,0500000US36075,"Oswego County, New York",117124,58818,3461,2465,4496,2438,2351,1193,1032,1875,3693,3756,2996,3348,3260,4125,4280,2799,2100,1563,1024,3163,1457,895,1048,58306,3140,3079,3545,1990,2515,1495,638,1529,3449,3524,3763,2557,3604,4174,4813,1765,2270,944,2321,2634,2042,1149,1366
472,0500000US36079,"Putnam County, New York",98320,49138,2026,1626,3893,1946,1016,357,187,2467,3230,3526,2862,3135,3060,3783,3803,1352,2976,1106,1851,1900,1710,749,577,49182,2281,1898,3270,1880,622,622,740,1279,3116,2586,2251,3400,4066,3565,5033,1605,1576,1407,1618,2156,1641,1486,1084
473,0500000US36081,"Queens County, New York",2253858,1094029,70188,60523,63990,36904,22287,13576,9846,38436,88898,91572,79470,72570,72554,73507,78722,26157,38478,25422,28006,40645,26259,17236,18783,1159829,66670,55612,63104,34336,20590,12803,12442,38852,90733,88823,78387,75898,75221,77266,82765,27418,46800,25696,35578,52642,36573,29061,32559
474,0500000US36083,"Rensselaer County, New York",158714,78731,4199,4285,4440,2632,3394,1473,924,3302,5498,6101,5727,3238,4399,5249,5772,1913,3493,1680,2548,3643,2022,1482,1317,79983,3948,4098,4059,2977,2492,650,1734,2487,5238,5695,4519,5167,4394,5835,4727,2463,4008,1970,2758,3805,2228,2003,2728
475,0500000US36085,"Richmond County, New York",476143,231437,12626,15471,16163,9045,5516,2468,2406,9446,16686,15869,14923,13954,15650,15209,17384,4709,9480,4290,7429,10114,6183,3274,3142,244706,12806,14534,13511,9530,4914,3182,3193,7836,16348,15088,16432,14592,16265,17049,18468,5887,10202,6530,8223,10474,7735,5139,6768
476,0500000US36087,"Rockland County, New York",325789,159798,12954,11960,13798,8308,4159,1743,2038,7310,10292,8894,9874,8802,9143,9141,9461,4588,5009,3587,3248,6195,4272,2939,2083,165991,13738,11178,13557,7075,4334,2202,1280,6581,9699,8434,9602,8962,9160,10375,8942,4490,6937,2969,4726,7416,6679,3901,3754
477,0500000US36089,"St. Lawrence County, New York",107740,54553,2671,2625,3437,1848,3047,1415,909,2429,3558,3256,3070,3074,2940,3569,3464,1578,2321,1179,1992,2682,1696,899,894,53187,2559,2252,3543,1947,2508,1613,1147,1556,3010,2912,2506,3028,3337,3170,4292,1475,2152,1139,1617,2840,1997,1348,1239
478,0500000US36091,"Saratoga County, New York",229863,114019,5947,6454,6696,4436,3343,1770,1204,3424,7127,7747,7149,6673,7633,8325,8402,3227,4832,3128,3385,5589,3704,1727,2097,115844,5475,5712,6167,4326,3095,870,838,4386,6169,6850,7791,6428,8263,8492,9167,3273,5168,3843,3701,5949,4166,2771,2944
479,0500000US36093,"Schenectady County, New York",155299,76245,4524,5217,5668,2358,1650,705,1222,2917,5613,5345,4881,4153,4696,5116,3308,2680,4027,1734,2606,2964,2483,876,1502,79054,3787,5321,3965,2597,1232,1382,1596,2164,4812,6513,6038,4122,4396,4848,5251,2852,2994,1836,2911,3256,2773,1981,2427
480,0500000US36101,"Steuben County, New York",95379,47085,2783,2576,3224,1834,1091,785,279,1631,2833,2708,2479,2889,2679,3256,3393,1449,2451,1751,1464,2161,1557,986,826,48294,2623,2767,2754,1762,932,213,648,1715,3186,2635,2568,3074,2883,3053,3491,1609,2118,1437,2046,2267,1913,1204,1396
481,0500000US36103,"Suffolk County, New York",1476601,727380,40144,43048,44520,29976,19740,9430,9965,28587,48300,43641,44276,42248,48226,55246,53495,22279,31962,19345,20677,26810,22617,11606,11242,749221,38811,38350,45616,28435,17949,7433,11306,27476,44848,41087,43934,41868,49888,57180,57305,24881,29394,17342,21136,38047,25764,19051,22120
482,0500000US36105,"Sullivan County, New York",75432,39074,2146,2297,2267,2094,649,254,222,1240,2985,2197,1510,2408,2301,3852,2125,1837,1729,848,1409,2160,1467,745,332,36358,2114,1886,1584,1482,422,949,445,1045,1675,1960,2423,1410,2266,3528,2553,1472,1367,743,1964,2133,1719,489,729
483,0500000US36109,"Tompkins County, New York",102180,50975,2005,1444,2470,2150,4325,1900,3286,4815,3599,3320,2719,2199,2238,2209,2318,988,2022,940,1900,1503,1335,591,699,51205,1681,1765,2043,895,5457,2835,2581,2830,3430,2552,2473,2848,2911,2381,2818,1046,2238,1410,1537,1858,1524,820,1272
484,0500000US36111,"Ulster County, New York",177573,87941,4168,4357,4283,3084,2025,823,1355,4146,5591,4957,5655,5629,5693,6561,7167,3178,3385,2310,2843,4671,2834,1518,1708,89632,3516,3866,4752,2989,2521,938,1683,3125,5134,5488,4927,5307,5247,5985,7497,2678,3887,2444,3700,5481,3437,2616,2414
485,0500000US36113,"Warren County, New York",63944,31380,1654,1142,2178,1081,638,510,235,795,1872,1960,2223,1111,1703,2239,2381,1578,985,1221,1117,2138,941,905,773,32564,1018,1294,1867,927,594,575,419,659,2136,1916,1671,1588,1890,2320,2523,1029,1806,1343,1173,2131,1115,1284,1286
486,0500000US36117,"Wayne County, New York",89918,45138,2742,2970,2481,1934,962,637,276,1374,2884,2246,2527,2618,2905,3360,2738,1625,2658,795,1778,2698,1541,762,627,44780,2012,2436,2671,1765,961,640,177,1277,2979,2332,2236,2509,2866,3707,3449,808,2666,1617,1622,1986,1989,960,1115
487,0500000US36119,"Westchester County, New York",967506,468412,27469,28498,31991,20150,12430,7917,5029,16182,28496,28436,29225,31294,32125,33708,30977,13692,19275,8907,12012,20613,12638,8557,8791,499094,26033,24872,32347,18998,12728,4615,5318,19755,27424,28129,31440,31518,33827,36056,35466,14716,18971,9869,15048,23963,17696,12673,17632
488,0500000US37001,"Alamance County, North Carolina",169509,79966,5655,4904,5786,2857,2599,756,1495,3696,4586,5581,5416,4163,5025,5031,5582,1769,2834,1528,2160,3615,2195,2044,689,89543,4312,4936,5344,3572,4095,685,1508,3187,5524,5745,6935,4076,5488,5677,6513,2743,2374,2695,2262,4247,3053,2554,2018
489,0500000US37019,"Brunswick County, North Carolina",142820,69591,2542,3995,2909,2091,1098,1002,474,1156,3771,3473,2839,3955,2923,3371,4604,2371,4595,2960,4647,7312,4153,2071,1279,73229,2660,2975,1829,1782,1759,299,490,980,3321,4146,2565,4619,3166,3827,6559,2880,5059,3561,5047,7881,4304,2047,1473
490,0500000US37021,"Buncombe County, North Carolina",261191,125255,6989,5910,7411,4601,2739,1537,889,3966,8641,10042,8755,8554,8364,7282,7797,3592,4568,3807,3829,6910,3365,2355,3352,135936,5539,6642,6716,4057,3562,1326,572,5102,8739,10078,8594,8545,9275,8064,8536,4090,6001,3708,5126,8612,5025,2754,5273
